id;value
233;Secrétaire ou réceptionniste
234;Technicien informatique,réseau
235;Développeur net (senior)
236;Assistante chef de production,assistante juridique
237;Analyste  (assistante chef de projet),programmeur python (avancée)
238;Recherche stage en développement informatique
239;Assistante juridique,assistante ressources humaines
240;Responsable ressources humaines
241;Télé-enquêteur
242;Domaine juridique
243;Secrétaire,réceptionniste,téléconseiller 
244;Marketing,communication
245;Technicien de déploiement d'équipement de surveillance,technicien de maintenance logicielle
246;Chef de chantier (débutante)
247;Développeur PHP,java (débutant)
248;Technicien d'intervention (niveau 2)
249;Responsable logistique
250;Comptable,auditeur (débutant)
251;Télé enquêteur  francophone (débutante)
252;Télé enquêteur  francophone (débutante),assistante comptable (débutante)
253;Opérateur de saisie web
254;Développeur d'application informatique
255;Auditeur
256;Opérateur web, référencer
257;Technicien en informatique (réseaux), développeur d'application Windows (débutant)
258;Polyvalent
259;Électronicien ou informaticien 
260;Ingénieur système,réseaux, ingénieur télécommunication
261;Assistante de direction,secrétaire,caissière,...
262;Responsable logistique, magasin 
263;Responsable commercial, responsable marketing, 
264;Responsable de production, responsable commercial, responsable marketing
265;Administration  , transitaire ......
266;Chauffeur,coursier ou vendeur
267;Vendeuse ou caissière ou serveuse ou secrétaire
268;Agent de transit
269;Ingénieur en génie industriel, maintenance centrale hydroélectrique ou thermique
270;Commerciale,agent marketing,assistante de communication 
271;Commerciale,agent marketeur,assistante de communication 
272;Maintenance
273;Opérateur online
274;Assistant en communication,commercial
275;Transit,douanes, ressources humaines
276;Responsable logistique, responsable magasin 
277;Technicien .electromecanicien
278;Télé-enquêteur anglophone 
279;Génie logiciel,administration base de données 
280;Opérateur de saisie online,assistant administratif
281;Assistant logistique ou magasinier
282;Cuisinier ou autre
283;Vendeuse,caissière
284;Finance,assistant administratif,financier,auditeur,assistante comptable,contrôleur de gestion
285;Technicien électromécanicien
286;Directeur administratif,financier
287;Assistante comptable (débutante)
288;Responsable magasin ou logistique
289;Directeur administratif,financier,réf lab452
290;Domaine du transit
291;Commercial,assistant gestionnaire de stock
292;Assistante de direction,téléopératrice,rédactrice web
293;QHSE , HSE
294;Conducteur de travaux BTP, ingénieur d'études BTP (débutant)
295;Technicien installateur de caméra de surveillance 
296;Maintenancier logiciel (débutant)
299;Transit import,export
298;Commerciale,agent marketeur,assistante en communication 
300;Développeur PHP (junior) , testeur logiciel, intégrateur web
301;Cuisinier,réceptionniste
302;Développeur,informatique
303;Magasinier ou informaticien
304;Téléopérateur, agent commercial, 
305;Commerciale,responsable gestion de stock,responsable import export,responsable logistique
306;Commerciale,agent import export
307;Enseignement
308;Télécommunication téléopérateur télé enquêteur
309;Assistante de direction,secrétaire (débutante)
310;Technicien en informatique, commercial, assistant bancaire
311;Commercial,chauffeur livreur 
312;Développeur d'application web (débutant)
313;Responsable financier,administration
314;Agent commercial,  caissier, aide comptable, étude de marché
315;DRH , DAF
316;DAF
317; Domaine de la science sociale
318;Tertiaire
319;Domaine informatique
320; Domaine des sciences sociales
321; Anglophones bilingues, administrateur réseaux,maintenance informatique 
322;Téléconseillère 
323;Directeur d’école
324;Technicien en bâtiment
325;Directeur des ressources humaines , directeur administratif,financier
326;Cartographe, topographe
327;Infographiste PAO , metteur en page
328;Infographiste PAO , metteur en page.
329;Développeur Windev
330;Cartographe
331;Développeur Windev débutant
332;Responsable administration-ressources humaines
333;Téléconseillère ( débutante)
334;Rédacteur
335;Dessinateur autocad, ou emploi en BTP
336;BTP
337;Assistante administrative ou logistique débutante
338;Administration,commerciale
339;Administration,logistique
340;Téléopérateur service client anglophone
341;Ingénieur responsable de maintenance
342;Juriste, rédacteur,referenceur web , community manager
343;Ingénieur réseaux (débutant)
344;Études,travaux de chantier de BTP
345;Maintenance,réseau informatique
346;Technicien en informatique,réseau
347;Intégrateur web HTML,CSS ,développeur PHP mysql
348;Dessinateur dans le BTP
349;Domaine transit ou commerce
350;Administrateur système,réseaux, génie logiciel,base de donnée
351;Technicien de maintenance réseaux
352;Modérateur,opérateur espagnol
353;Technicien développement ,application
354;Infographie , PAO
