id;value
689;Office 2010, Office 2013, LibreOffice 3.3, Open Office 3.3 , sharepoint 2010
813;Sentinel
691;Sharepoint 2010 , EBP paye, SunPlus Compta, Linux Docker
814;Minsat
693;Vmware, HyperV windows server 2008, VirtualBox
816;sydonia
695;HTML , CSS3
696;PHP5 et MySql,
697;Apache,
698;Java Netbeans , Java Eclipse, BootStrap, Dreamweaver 2017
699;Drupal 7, Joomla, wordpress
700;"Connaissance en ADSL ; VLAN ; VPN ; VSAT ; Firewall ; asterisk et VoIP ; PABX"
817;Delphi
818;Eclipse
703;Windev, php/Mysql, Java
704;script bash et powershell ( Linux)
815;Ability
706;Xarchitecture , la gamme du serveur IBM xSeries
819;spring
820;Dreamweaver
821;SYCORAX
822;Shinx
711;Merise 2, Agile
823;Adobe lighroom
714;Windows Server 2003 et 2008 , connaissance de protocol TCP/IP, configuration Routeur
825;IMS Fleet Maintenance
717;Mise en place serveur , Installation serveur Blade Center ( H20 , H21, Js20 et JS 21)
826;STATISTICA
828;Bureautique avancé
829;Sphinx et Ms Project
727;Mise en place serveur VPN , serveur de messagerie ( PostFix ou POP3 )
728;Mise en place securite serveur ( Firewall et proxy , squid et iptables )
729;Mise en place serveur DHCP, NAT, Squid et VPN Linux.
730;Autocad, Covadis, MS Office, Open Office, Power Point
732;Linux, logiciels bureautiques, internet, programmation (niveau d
734;Word, Excel, Power point, Navigation internet
735;"ORCHNID;LPF;CIEL COMPTA......."
740;Windows 10-Windows Xp - Sage Gestion Commerciale
741;Adobe Photoshop
747;Microsoft Office 2010
748;Linux, Logiciel Bureautique, Internet, Programmation (niveau D
753;Windows 7,8,10
754;Office 2003, 2010
755;Adobe Photoshop CS6
756;Adobe Premiere Pro CS6
757;Ubuntu, Microsoft Windows 7,8, PHP, HTML, Javascript,CISCO PAKET TRACERT,SQL,JAVA,CODE BLOCK
758;Microsoft Office
760;Microsoft Office
761;Python, Oracle, MySql, Sql
762;Java, Android (Eclipse) Ios
763;Windows et Linux
764;Photoshop, Illustrator et CorelDraw
765;3ds max, BluffTitler
766;Adobe Premiere et Sonar
767;Dreamweaver, Joomla
