id;value
187;Membre d'Association ZANAKA AVARATRA, jouer foot ball, Vice Président de l'Association ZAFINTANY SIRAMA, Membre de bureau de l'Association Musulman NOUROUL'MAHABA Diego
188;Natation, cuisine
189;Domaine de l'Energie Renouvelable(Centrale Hydroélectrique) et Génie Industriel
190;LECTURE, football, internet
191;Lecture, internet et voyage
192;membre chez Pionner's Association of Logistician Malagasy
193;lire le journal 
194;Jouer au Lawn Tennis , Regarder la Télévision
195;foot balle, boxe savate et kickboxing, pétanque, chant, jeux d'échec, volley balle
196;Mécanique automobile, sports
197;"-Membre du Rotary Club International de Majunga (1999 - 2002); - Membre du Rotary Club International du Lac Alaotra (2004 - 2012); jeu d'échec; voyage"
198;Cinéma, zumba
199;pétanque
200;Lecture, sports, voyage
201;Sports/jeux de société/jeux vidéo
202;Musique/cinéma/jeux vidéo/sports
203;Natation, danse, lecture, internet
204;Membre chorale 
205;Art culinaire/voyage/musique/arts martiaux
206;tourisme
207;Chant, danse, voyage, sports
208;internet, lecture, football, course
209;lecture, regarder des documentaires, surfer sur internet
210;Musique,natationt,arts martion,basket ball,foot ball
211;Sports/musique/billard/danse
212;poésie, musique, voyage
213;musculation, foot_ball, natation
214;Nouvelles technologies
215;Football/Natation/Tennis/Billard
216;internet, lecture, football, course à pied
217;Jeux de société, natation, mots flêchés,...
218;Lecture, musique
219;PORTRATIST, musique, petanque
220;Mecanique Auto – Moto, Lecture, Football, Basket-ball
221;Lecture, basket, natation, documentaire, musique
222;sociologie cuisine
223;PARTAGER LA BONNE NOUVELLE DE JESUS CHRIST A TOUS LES SPHERES
224;Les mots fléchés, la danse et le volley ball
225;Musique, Voyage, Nouvelle technologie, Aéronautique
226;•	Méticuleux et organisé •	Sens du service  •	Excellence résistance au stress 
227;lecture, basket, voyage, musique
228;- Le scoutisme - Passionné du sport (foot-balle, basket-balle,Karate…) - L’organisation d’évènement familiale  - animateur
229;Informatique - Internet - Lecture - La plage.
230;surfé sur le net, 
231;Musique Lecture Dessin
232;Divers
233;"CHANTS; DANSES (Salon, Sportif) ; VOYAGES ; SPORTS (Natations, Handball, Moto)"
234;natation, dance, lecture, internet , Benevolat humanitaire
235;lire 
236;Natation-basket ball-football
237;Lecture / Musique / Voyage / Internet
238;Dance de couple
239;Natation foot lecture internet
240;sport, musique, danse
241;Danse de couple
242;football, arts martiaux, actualités internationales,
243;jeux-video, football, film, documentaire
244;voyage, cuisine, internet
245;Lire le roman
246;"Scoutisme ; dance ; Sport "
247;FOOT.BALL
248;lecture, chante, piscine
249;Scoutisme ,lecture ,musique et football
250;music,danse,internet
251;Scoutisme , football
252;Danse sportive
253;chant, danse (salon, sportive), domino, carte
254;Art ( dessin) Sport (natation - volley)
255;Caractère:  Sérieuse, compréhensive, dynamique, rigoureuse.  Apte à travailler en équipe, weekend et jour férié 	Esprit créatif, volontaire, participatif
256;Lecture, sport (Volley)
257;chant,danse,domino,carte
258;KABARY
259;Jeux de société, basket-ball,...
260;Music
261;Responsables et appliquées
262;*pour trouver des meilleurs avenir pour ma petite famille,
263;Chanter, danser
264;TIC, musique
265;Voyage,musique,lecture,film
266;Sociable, Généreuse
267;Le scoutisme, le volley ball et la musique
268;Basket / Internet
269;"foot ball,hand ball;basket ball"
270;Formation sur les gestions de conflit et la mise en place d'une grille salarilae selon le processus Hay
271;Tout ce qu’est électroniques et électrique et Internet
272;Lecture, danse, randonnée
273;lire les livres
274;Membre de l'Eglise de Jésus Christ des Saints des Derniers Jours: Président des jeunes gens, Président Ecole de dimanche, Greffier adjoint de Paroisse
275;JOGGING ET FOOTBALL
276;Association MA FA MI
277;membre active de l'association MIKOLO, pour une orientation fiable pour les jeunes,en vue de les orienter vers une voie meilleur pour assurer ses avenir
278;créative, dynamique, sociable
279;Chorale à FJKM Andrainarivo Fahasoavana, Membre Vondrona Fototre Laika à FJKM Andrainarivo Fahasoavana, Membre des musiciens à FJKM Andrainarivo Fahasoavana
280;Danse de salon, English Teaching Program, couture
281;la télévision, le cinéma ,la lecture
282;Activités religieuses et sociales
283;Natatio, lecture et zumba
284;Manga, Culture japonaise
285;tennis de table, Natation, Musique
286;Lecture, Nature, Journal, Documentaire, Internet Football, Volley Ball, Ping pong
287;Lire, jeux vidéo
288;
289;Dynamique,ponctuel,sérieux,sociable
290;Sport,voyage,musique,lecture
291;Danses de couple / danses sportives / photographie
292;Football,Basket, music, lecture, voyage
293;Membre de l'ssociation Leo Club, Chorale
294;tennis de table, Natation, Musique, 
295;tennis de table, Natation, Musique, lecture
296;Tennis de tabble, volley ball, guitare,...
297;Auto-moto/ Musique 
298;Dynamique, ponctuel, sérieux, sociable
299;NATATTION
300;Football, Basketball, Voyage. Président d’association des Jeunesse RAVINALA MADAGASCAR Scoutisme Catholique.
301;Basket-ball,lecture,jeux de société
302;musique,voyage, internet , tennis
303;basket ball 
304;- Scoutisme (corps éducateur - 128ème unité) / débat (attestation de participation du groupe STAR: prremière place pour la conférence débat inter-concours : innovation pour les entreprises malgaches)
305;suivre un documentaire, basket-ball
306;Cuisine, mécanique auto, documentaire
307;Musique,Sociable, Généreuse
308;Danse, Lecture, basket-ball
309;Athlétisme / Natation / Musique / Mecanique Auto
310;Sport : Football - Loisirs: Lecture, Danse
311;Maîtrise Microsoft Office sous Linux
312;Voyage, sport
313;lecture et voyage
314;•	Stage de Formation sur les AERATEURS DE TOITURE WHIRLYBIRD au sein de la Société NEGODIS à l’île de LA REUNION en 1998
315;chant, lecture
316;Lecture, danse, chant, télé
317;jeux d'échec et dominos
318;lecture et sport collectif
319;Révues spécialisés, Sports, Dance, Voyages..
320;poésie, Danse, Sports
321;musique,cuisine,sport,
322;Loisir
323;peinture, lecture, jeux de société.
324;Discuter, voyager
325;football/basket-ball/natation/lecture/musique/
326;Permis de conduire B
327;Informatique - Entreprenariat
328;Lecture, danse, musique, lecture
329;j'aime le sport et les jeux de toutes sortes
330;lire voyage marche
331;Lecture et danse
332;natation,lecture, basketball,designer
333;jeu d'echec
334;Passionné par les nouvelles technologies (ordinateurs, smartphones, etc), lecture, sport, musique, jeux vidéo, cinéma et la mécanique auto.
335;Gret Madagascar 
336;Sport, voyage, internet
337;Natation,  lecture, cuisine, internet
338;lecture et internet , sport
339;Basket, musique, ping pong, sport auto, piscine
340;Natation-volleyball
341;Internet, lecture, jeux de cartes
342;Jeux de société, sortie en famille
343;Finaliste lors du coucours projet STARUPPER de TOTAL AFRIQUE
344;Sport : Football
345;Balade en Famille
346;kick- boxing /kabary/ musculation
347;exportation
348;Formation sur le montage de projet, techniques de négociation et de réunion, leadership en collaboration avec le Ministère de la Jeunesse et des sports
349;-	Sérieux et Méthodiques -	Capacité de s’intégrer aux nouvelles technologies informatiques et télécommunications
350;Sport de combat, lecture, communication
351;Boxe thailandaise, lecture, communication
352;Football, Basket Ball
353;Trésorière dans une Eglise Adventiste, cheftaine haut grade dans la Jeunesse Adventiste, lire  des livres  psychologiques
354;sportif
355;"ACCEDS "" ACtion Chrétienne pour l'Evangile et le Développement Social"""
356;Sport : Tennis, Natation. Loisirs : Jeu de société, film, chant.
357;musique et Sport
358;Coseiller dans l'association familiale 
359;natation,lecture,basket ball
360;Certificat en comptabilité générale et en quark express et photoshop (BIT SOLUTION Tsiadana)
361;Certifica en commerce, communication ,gestion des ressources humaines (BUSINESS EDGE/ISCAM)Certificat en comptabilité générale et en quark express et photoshop (BIT SOLUTION Tsiadana)
362;Cheftaine du scoutisme féminin, danse, boxe anglaise, culture japonaise
363;Recherche documentaire sur Internet, natation, batteur, voyage, batteur percussionniste
364;Lecture,Musique, hand-ball, basket-ball et volley-ball
365;ACCEDS 
366;-	Loisir : musique et Sport / -	Dynamique, digne de confiance, capable de travaillé en équipe
367;"Participation active au projet de ""Consolidation de la paix et du Droit de l'Homme"" avec l'ONU"
368;Lecture, Promenade, Musique
369;Football, volley ball, Chorale ANJOMARA Anosivavaka Ambohimanarina Antananarivo, Cinéma, lecture, guitare
370;Chorale à L'Egiise Adventiste du 7e jour à Manjakamiadana 
371;Basketball, scoutisme, lecture, cinéma
372;Musique-Voyage-Cuisine
373;natation, lecture, basket ball
374;Participation aux diverses activités parascolaire ( Animation journée verte, visite de divers usines)
375;Dirigeant club de scoutisme, animateur de groupe de jeunes
376;Danse, cinématographie, art graphiquen dessin, sport, lecture
377;lecture, natation, voyage
378;foot Ball, jeux vidéo, surf  sur internet
379;Voyager
380;hand ball ,musique, judo
