id;value
241;EFARC
242;GSI
243;Collège St Etienne Ambanidia
244;ESSVA Antsirabe
245;Lycée J.J Rabearivelo
246;KENTIA SARL
247;Groupe PIGIER
248;Lycée privé Stella Maris
249;USA
250;Lycée LRN
251;I-TECH
252;BMR Besarety
253;IS-IESI
254;CSPJ Tanjombato
255;Institut supérieur de l'entrepreneuriat et du commerce
256;Chambre de commerce de la France Ankorondrano
257;Isoraka
258;Collège St François Xavier
259;Universite d Antananarivo
260;Spoken English Course
261;Collège protestante 
262;ENI
263;Parc des Princes
264;English Language Institute
265;Ecole Nationale d'Informatique (ENI)
266;E-TEC
267;Centre de Formation en Electronique et Informatique
268;Lycée Jean Laborde Mantasoa
269;Saint Michel Itaosy
270;Cours ACEEM
271;Lycée St Antoine
272;Institut de Formation Technique
273;Cntemad / Uprim
274;SFX
275;Lycee Nanisana
276;ITEM
277;YOUTH FIRST
278;ONG dinika Union Europeenne
279;Conservatoire National des Arts et Métiers
280;Lycée Maria Manjaka
281;Lycée Raherivelo Ramamonjy
282;CFP E-Media
283;Saint Jean Bosco
284;ERD BEHORIRIKA
285;ISFC
286;Université Ankatso Antananarivo
287;ISSSG
288;Université de Tananarive
289;DIFP Université d’Antananarivo 
290;barika V
291;IS IESI Manjakaray
292;LTP Antsirabe
293;Lycée privé Antsiranana
294;Openclassrooms.com
295;lycee privee saint jean antsiranana
296;ESSCA Antanimena
297;Saint Louis Betafo
298;IT UNIVERSITY - Université de Nice Sophia Antipolis
299;EUROI
300;Institut de Leadership Chrétien
301;Lycée Sacré Coeur Anosia 
302;ICAM
303;Saint François Xavier
304;Institution Sainte Famille Mahamasina
305;ONG ACDM BEHORIRIKA
306;ICI ISORAKA
307;LYCEE PRIVE ANDRIANINA AMBOLOKANDRINA
308;Institut Supérieur de Technologie d'Antananarivo
309;Lycée Technique Commerciale Ampefiloha
310;med
311;ESSGaM
312;CEFOR
313;ankatso Antananarivo
314;Banque Mondiale de Madagascar
315;MDS CANADA
316;IUGM
317;Lycée privée Notre Dame
318;NDA Mahitsy
319;IFPA Aceem
320;Université privée de madagascar
321;University of PARIS XIII
322;University of BORDEAUX I
323;Lycée Michel Montaigne
324;Lycée Saint François Xavier
325;Lycée Français de Tamatave
326;Université de Picardie Jules Verne
327;Centra National du Télé-Enseignement de Madagascar
328;Ifen au Havre
329;INSCAE  67ha, Antananarivo 101
330;UNIECO - Formation à distance
331;Ecole des Frères Soavimbahoaka
332;Faculté DEGS Ankatso 
333;SHERRIT
334;NEWREST
335;PARAMEDIC SOS
336;SNC LAVALIN 
337;ERD
338;Lycée Technique Professionnel Beravina
339;Lycée Sacré Anosisoa
340;IFAGI
341;lycee philibert tsiranana
342;JCI Mahajanga
343;CROUSTIPAIN
344;Alliance Française
345;JPM FORMATION, ETUDE ET CONSEIL CARMEN EDUCATIVA
346;ETS SAINT MICHEL AMPARIBE  
347;
348;RLG 
349;LTPN
350;Lycée Catholique Saint Antoine
351;Ecole Normale Supérieure Ampefiloha
352;POLYTECHNIQUE D'ANTSIRANANA
353;UNIECO Formation à Distance
354;JCI
355; Chambre de Commerce et d'Industrie d'Antananarivo
356;Ecole Nationale de l'Informatique (ENI)
357;Lycée Laurent Botokely
358;ISM
359;CFP Antaninandro
360;Orange Business School  OBS
361;Welcom center
362;Tananarivo Business shool
363;LEADER INFO
364;CUR ANKATSO
365;INSTITUT DE MANAGEMENT ET GESTION APPLIQUE
366;Institut Supérieur des polytechniciens Novateurs de Madagascar
367;Faculté DEGS Andrainjato Fianarantsoa
368;arcade
369;FDC Behoririka
370;LYCEE LE PILLIER 
371;Université privé d'Antsirabe
372;Saint Vincent de Paul Ambatonilita
373;Institut de Formation Technique (IFT) ANTANANARIVO
374;ESPIC
375;Lycée St Laurent
376;EPP
377;MDF
378;Lycée Cathholique Saint vincent de Paul
379;St Michel Itaosy
380;Institut Supérieur Saint Michel Itaosy
381;LTPGC Mahamasina
382;Institut Supérieur Polytechnique des Novateurs de Madagascar INSPNMAD
383;
384;MARSEILLE
385;Paris Sorbonne
386;Université de Fianaranstoa
387;LTP Fianarantsoa
388;PENSER Madagascar
389;Endress-Hauser
390;CFA Ambatovy
391;Polytechnique de Diègo-Suarez
392;ISSUP
393;Village d'enfant Vontovorona
394;ESPOIR
395;ESPA
396;NORAD/BIT Antsirabe
397;ASJA (Athénée Saint Joseph Antsirabe)
398;Lycée technique et professionnel Alarobia
399;GSI Analakely
400;CNTEMAD Ambatondrazaka
401;IESTIIM
402;Ecole Nationale d'Informatique de Fianarantsoa
403;EPSI Fanantenana
404;Lycée Analamahitsy
405;Collège Adventiste Fianarantsoa
406;ETS St Michel Amparbe
407;LJRA 
408;réseau plus Madagascar
409;IFELP ANOSY
410;USTHB
411;Morondava
412;GSI Madagascar
413;Barikadimy
414;CP FJKM M/ga
415;EMIT université de Fianarantsoa
416;Université de Majunga
417;Paul Minault
418;Université d' Antananarivo 
419;SFD
420;Antsiranana
421;Polytechnique d'Antananarivo
422;Saint Michel Amparibe
423;CNTEMAD Antsirabe
424;transcription médical
425;Société Salone
426;ISTE Fianarantsoa
427;ETS St Michel Amparibe
428;Mahajanga
429;CGM (Centre Germano-Malagasy)
430;IFT Antananarivo
431;Condorcet
432;Condocet
433;Lycée technique Condorcet
434;gestion
435;universite toamasina
436;Lycée rakotoarisoa Ambositra
437;Teknet Group
438;Centre germano Malgache Analakely
439;Fo Masin' i Jesoa (FMJ)
440;PROMES/ Programme SESAME
441;Blanche Birger de Madagascar (B.B.M)
442;Institut de Gemmologie d'Antananarivo (I.G.A)
443;Centre de Formation en Commerce International et Concurrence (C.F.C.I.C)
444;Jean-Philippe Mas Formation,études et conseil
445;IMGAM/FPAEC
446;formation online
447;C-STAR
448;LYCEE D'ENSEIGNEMENT GENERAL
449;LYCEE EJEDA
450;Lycée le Défi
451;Lycée technique professionnel Antsirabe
452;LTP Aceem
453;BBM (Blanche Birger Madagascar)
454;Lycée fianarantsoa
455;FAC DEGS Ankatso
456;Collège Saint Louis III Manakambahiny
457;LTP GCM
458;CENTMAD
459;ASSURANCE NY HAVANA 67 Ha
460;LA SOURCE ANJANAMASINA
461;Univers Informatique
462;ISMATEC Antanimena
463;LEG Arivonimamo
464;Université d'Antananarivo Faculté D.E.G.S.
465;BTS/LTC Ampefiloha
466;CNTEMAD Antananarivo
467;Université Catholique
468;67 ha Antananarivo
469;Bit Info Tsiadana
470;antanarivo
471;IMDFFF
472;collège Lasalle Montrèal
473;UNIVERISTE ANTANANARIVO
474;CNETMAD
475;Lycée technique d'Ambatondrazaka
476;FPTI Ankadifotsy
477;Lycée Farimbona
478;Lycée Privé Farimbona
479;EMMIR CONSULTING
480;IST DIEGO
481;ESP BIG Behoririka
482;Oracle University
483;Centic-Mada
484;RENEL RAKOTOBE
485;EMIR Consulting 
486;I N T H
487;Conservatoire National des Arts et Métiers.PARIS
