id;diplome;created
487;Licence en Bachelors Degree in Marketing et commerce, comptabilité et finance, management and business studies;23/04/2017 20:04
488;Ingénieur en Génie Industriel (Specialiste Turbine Hélice);24/04/2017 09:23
489;Bacc+3 en Informatique de Géstion;24/04/2017 09:23
490;Licence en Informatique - web;24/04/2017 09:41
491;Master 2 MBDS - Mobiquité, Base de données et Système d'information;24/04/2017 09:41
492;DTS en Sociologie;24/04/2017 11:38
493;Formation de 4 mois en Informatique;24/04/2017 11:39
494;Master 1 en Marketing et Communication ;24/04/2017 11:58
495;Licence en Marketing;24/04/2017 11:59
496;Formation de 7 mois en Anglais;24/04/2017 12:01
497;Licence II (en cours) en Information et Communication d’entreprise ;25/04/2017 09:30
498;Maîtrise en Gestion option Finance et Comptabilité;26/04/2017 06:55
499;BACC technologique tertiaire;26/04/2017 08:04
500;Certificat de fin de formation en Gestion des Ressources Humaines;26/04/2017 08:24
501;Certificat de fin de formation en Transit et Douanes;26/04/2017 08:31
502;Certicat de fin de formation en Gestion des Ressources Humaines;26/04/2017 08:36
503;Bacc série A avec mention: Assez-bien;26/04/2017 08:37
504;Bacc série A2 avec mention: Assez-bien;26/04/2017 08:38
505;Diplôme de Licence en Exploitation Logistique et Transport;26/04/2017 08:39
506;Baccalauréat technique en Agent Commerciale Techniques Commerciales;26/04/2017 08:39
507;DTS en Génie electrique;26/04/2017 08:45
508;DTS  en informatique de gestion;26/04/2017 10:27
509;fin de formation de gestion;26/04/2017 13:32
510;Licence en Informatique genie logiciel et base de données;26/04/2017 21:42
511;Certificat de fin de formation en Informatique;27/04/2017 06:18
512;Baccalauréat technique en Electronique;27/04/2017 06:20
513;Formation en passation de marchés;27/04/2017 06:38
514;Formation en secrétariat et éthique professionnel;27/04/2017 06:38
515;Master 2 en Management des Organisations et des Stratégie;27/04/2017 07:00
516;Licence en Ressources Humaines;27/04/2017 07:00
517;bacc+2 en Gestion ;27/04/2017 08:44
518;Baccalauréat littéraire;27/04/2017 08:44
519;BTS en Génie Electrique;28/04/2017 07:06
520;Baccalauréat en Electrotechnique;28/04/2017 07:06
521;D.E.S.S (bac+5, 3ème cycle) Banque et Finance;28/04/2017 10:39
522;Maitrise en sciences économiques option Management;28/04/2017 10:39
523;Licence en sciences économiques option Management;28/04/2017 10:39
524;Math Sup;28/04/2017 10:39
525;Licence en Sciences de Gestion;28/04/2017 11:40
526;DTS en Gestion-Comptabilité;28/04/2017 11:41
527;Baccalauréat Tertiaire;28/04/2017 11:41
528;Diplôme d'Analyste programmeur;28/04/2017 11:59
529;Baccalauréat Economie et Soscial;29/04/2017 12:39
530;Licence 2 Economie et Gestion;29/04/2017 12:39
531;Entrée à l'école de formateurs;30/04/2017 20:02
532;BTS Bacc + 2 Commerce International;01/05/2017 08:11
533;DSSA;01/05/2017 13:48
534;Diplôme d'Etude Commerciale Supérieure et Management;01/05/2017 13:48
535;DTSS  en informatiquel;02/05/2017 09:25
536;DTS en Commerce International;02/05/2017 10:03
537;Niveau 1ère année en Gestion de Commerce;02/05/2017 11:36
538;BTS EN COMMERCE INTERNATIONAL;02/05/2017 15:40
539;Coordonateur de Permis de travail;02/05/2017 15:40
540;FORMATEUR ANTI CORRUPTION ET FRAUDE  ;02/05/2017 15:40
541;QAQC;02/05/2017 15:40
542;CERTIFICAT SOS;02/05/2017 15:40
543;HSE;02/05/2017 15:40
544;Diplôme de Hautes Etudes en Management;03/05/2017 12:07
545;Diplôme d'Etudes Supérieures en Comptabilité et Administration des Entreprises;03/05/2017 12:11
546;Diplôme d'Agent de Maîtrise en Secrétariat, Comptabilité et Administration;03/05/2017 12:13
547;BAE - BT - BACC Technique;04/05/2017 08:17
548;Entrepreneuriat ;04/05/2017 12:02
549;leadership;04/05/2017 12:02
550;Certificat de fin de formation en Pâtisserie;05/05/2017 06:22
551;DELF B1;05/05/2017 06:41
552;Formation en Techniques de vente niveau 2;05/05/2017 06:43
553;Licence professionnelle en Marketing et Commerce International;05/05/2017 06:44
554;BTS Assistant de direction en matière de Gestion de Commerce;05/05/2017 06:45
555;INGÉNIEUR EN ELECTROMECANIQUE;05/05/2017 09:39
556;DTS EN GENIE MECANIQUE;05/05/2017 09:39
557;Bacc+3 Administration système et réseau ;05/05/2017 09:39
558;DTS marketing et commerce;05/05/2017 09:44
559;Ingénieur en Informatique formation HYBRIDE;05/05/2017 18:40
560;BACC+3 en science de l'informatique;07/05/2017 13:43
561;BEP Commerce G3;07/05/2017 19:31
562;Bacc Série Technique G3;07/05/2017 19:31
563;BTS Bacc+2 Commerce International et Marketing;07/05/2017 19:31
564;Brevet d'études professionnels en géston comptable;08/05/2017 07:08
565;Master 2 en Commerce International;08/05/2017 08:54
566;Licence en Commerce International;08/05/2017 08:55
567;Formation en Finance d'Entreprise;08/05/2017 09:21
568;certifcat d'aptitude pédagogique de l'école normale supérieure, langues et lettres malgaches;08/05/2017 10:16
569;Bacc +2 en Droit;08/05/2017 14:44
570;Baccalauréat technique Industriel;09/05/2017 08:03
571;Ingénieur en Informatique de gestion et genie logiciel et Intelligence Artificielle;09/05/2017 08:38
572;DSSA (Diplôme Supérieur en Sciences de l'Administration);09/05/2017 09:36
573;Diplôme Supérieur en Sciences de l'Administration;09/05/2017 09:40
574;DTS en Secrétaire de Direction;09/05/2017 11:41
575;Baccalauréat série Technique commerciale;09/05/2017 12:11
576;Formation en Entrepreneuriat ;09/05/2017 12:18
577;Formation en Leadership;09/05/2017 12:19
578;Niveau 2ème année en Droit;09/05/2017 12:19
579;Certificat (equivalent d'un bacc+2) en Assistant bancaire;09/05/2017 14:58
580;Baccalauréat Technique Commerciale;10/05/2017 06:53
581;BACC série A1;10/05/2017 07:03
582;Licence professionnelle en Informatique;10/05/2017 07:21
583;certificat en transit et douane;10/05/2017 14:14
584;certificat ;10/05/2017 14:50
585;elementary certificate;10/05/2017 14:50
586;DTS en commerce et marketing;10/05/2017 14:50
587;licence en gestion option finance et comptabilite;10/05/2017 15:00
588;master en economie et commerce;10/05/2017 15:49
589;Master Comptabilité Contrôle Audit;11/05/2017 06:12
590;BACC+3 EN GESTION OPTION INFORMATIQUE;11/05/2017 07:57
591;Diplôme d’étude supérieure en comptabilité approfondie (DESCA)DI;11/05/2017 09:46
592;Diplôme Supérieur spécialisé en Sciences Comptables (DSSC);11/05/2017 09:46
593;Licence en Sociologie;11/05/2017 10:53
594;deug es economie;12/05/2017 06:35
595;Master 2 en Droit et technique des affaires;12/05/2017 09:16
596;Master 2 en Gestion et Adminsitration d'Entreprise;12/05/2017 09:16
597;BTS en gestion et finance;13/05/2017 09:23
598;Maitrise parafaitement la langue Anglaise, et Maintenance  et réseaux en informatique LAN, Windows, Ms Office, Mac;15/05/2017 10:00
599;Formation en hotellerie et restauration (1ère année);16/05/2017 09:50
600;bacc +1 en Informatique de gestion;16/05/2017 11:05
601;DTSS en informatique de gestion;16/05/2017 11:05
602;DTS en Langue de communication Anglaise;16/05/2017 14:04
603;DEA en chimie physique ;16/05/2017 18:05
604;Ingénieur en BTP;16/05/2017 19:52
605;Maîtrise en Gestion, Option Commerce;17/05/2017 08:47
606;deuxieme année en Licence professionnel;19/05/2017 18:54
607;première année en Lincence pro;19/05/2017 18:54
608;3 ème année en Science de l' Environnement et du Développement Durable;20/05/2017 10:06
609;technicien commercial;22/05/2017 14:18
610;Formation en Transite et douanes ;23/05/2017 08:55
611;bacc + 3 en Management des Entreprise;23/05/2017 09:31
612;Attestation d'étude en Transit ;23/05/2017 09:42
613;DTSS  en informatique;23/05/2017 13:54
614;LICENCE EN GESTION OPTION MANAGEMENTMARKETING D'ENTREPRISE;24/05/2017 09:53
615;Diplôme de licence en Commerce et Administration des affaires;24/05/2017 11:18
616;BACC +2 en Finance et Comptabilité;26/05/2017 12:41
617;Bac technique ;26/05/2017 17:27
618;Diplôme de maitrise en gestion et administration d'entreprise et maitrise en droit et technique des affaires;29/05/2017 12:39
619;Diplôme de Technicien Supérieur en Informatique de Gestion et Génie Logiciel;29/05/2017 14:48
620;DESCA ;30/05/2017 13:52
621;CEFEB ;30/05/2017 13:52
622;Diplome d'études supérieures de l'université;30/05/2017 13:52
623;Master en finance & comptabilité;30/05/2017 17:42
624;BAE/BT/BACC technique;31/05/2017 07:19
625;Niveau 1 ère année en physique chimie;31/05/2017 07:19
626;Niveau 1 ère année en informatique de gestion;31/05/2017 07:19
627;Formation en formateur (Paludisme);31/05/2017 07:19
628;Advanced Level on E+H Instruments;31/05/2017 08:26
629;Level 02 on E+H Instruments;31/05/2017 08:26
630;Level 01 on Salesforces and E+H Instruments;31/05/2017 08:26
631;Initiation on E+H Instruments;31/05/2017 08:26
632;Ingénieur en Génie Industriel;31/05/2017 08:26
633;Tronc commun ;31/05/2017 08:59
634;3 ème année en droit;31/05/2017 09:13
635;Bacc G2 , Bacc+3 en droit privé;31/05/2017 11:49
636;Formation sur la PPO;31/05/2017 12:48
637;Ingéniorat du BTP;02/06/2017 08:12
638;CERTIFICAT HIMO ROUTE;02/06/2017 08:12
639;Master 2 en informatique option télécommunication;02/06/2017 10:24
640;Bacc +2 Economie;03/06/2017 16:32
641;Certificat d eformation en Management de BTP;06/06/2017 06:27
642;Certificat de formation en Management de BTP;06/06/2017 06:33
643;Brevet d'étude profressionnelle mention électronique;06/06/2017 14:46
644;Formation Management et Leadership;06/06/2017 15:06
645;2 aNS EN MARKETING;07/06/2017 09:23
646;Master 2 en Informatique (en cours);07/06/2017 09:25
647;Baccalauréat technique et technologique;07/06/2017 14:14
648;Diplome de technicien supérieur en informatique;07/06/2017 14:20
649;Licencier en langues étrangers,spécialisée en espagnol;07/06/2017 16:05
650;Licence en physique des signaux systèmes;08/06/2017 13:37
651;Licence en informatique industrielle, électomécanique;08/06/2017 13:49
652;Formation informatique bureautique;09/06/2017 12:42
653;DTS en BTP;10/06/2017 10:10
654;BT  Chantier BTP;10/06/2017 10:10
655;BEP Chantier BTP;10/06/2017 10:10
656; électomécanique;10/06/2017 12:43
657;DEA en Gestion des ressources humaine;12/06/2017 12:43
658;stage en marketing;12/06/2017 15:09
659;LICENCE EN PARAMEDICALE;13/06/2017 07:54
660;BACC+ 3;13/06/2017 07:55
661;bts bacc+2 en genie civil;13/06/2017 11:11
662;masters 2;14/06/2017 06:50
663;DTS en management des affaires ;14/06/2017 14:38
664;Licence en gestion et marketing;14/06/2017 15:08
665;D T S en informatique;14/06/2017 15:35
666;Licence en Informatique des systèmes et réseaux;14/06/2017 19:34
667;Master 2 en Système d'information geomatique et décision;14/06/2017 19:34
668;DSSAE;15/06/2017 06:26
669;Formation en informatique de gestion;15/06/2017 14:53
670;2 ans d'études en Commerce Marketing;16/06/2017 07:56
671;Diplôme de Technicien Supérieur Spécialisé (DTSS);16/06/2017 15:14
672;BACC + 2 en Droit;19/06/2017 08:47
673;Formation en transcription médical  (03 mois);19/06/2017 08:47
674;"Formation en animatrice de vente à la « Société Royal Spirit » Behoririka ; formation en animatrice de vente à la « Société Salone » Tanjombato.";19/06/2017 08:47
675;Licence en Informatique de Gestion;19/06/2017 11:17
676;Assistante de direction ;19/06/2017 12:07
677;BACC en électronique;19/06/2017 13:51
678;Certificat de formation en langue Anglaise;19/06/2017 14:56
679;bacc+2 en marketing set commerce;19/06/2017 19:23
680;DELF B1 et B2;19/06/2017 19:23
681;diplôme d'étude en langue allemande;19/06/2017 19:23
682;Licence professionnelle en mar;20/06/2017 10:39
683;Master professionnel en BTP;20/06/2017 12:27
684;technicien professionnel en BTP;20/06/2017 12:27
685;baccalauréat en BTP;20/06/2017 12:27
686;Formation en informatique et pao infographiste;20/06/2017 13:31
687;licence en gestion option commerce ;21/06/2017 07:15
688;Diplôme de technicien supérieur en Management et administration d'entreprise ;21/06/2017 14:01
689;Diplôme de techinicien supérieur en Mangement en mathématiques appliqués;21/06/2017 14:22
690;formation d'étude supérieur en marketing et commerce;21/06/2017 14:29
691;Licence en Langue et Lettre Allemande;22/06/2017 08:40
692;Niveau B1 en langue Allemande ;22/06/2017 08:40
693;Certificat de réussite Année Préparatoire aux études supérieures;22/06/2017 09:01
694;L1;22/06/2017 09:01
695;Multimedia et communication;22/06/2017 09:48
696;Attestation de Programmeur Informaticien;22/06/2017 11:33
697;Attestation de suivi de cours préparant au Diplôme de Technicien Supérieur en Gemmologie;22/06/2017 11:33
698;"CNELA First certificate; Advanced certificate; Business and Communication certificate";22/06/2017 11:33
699;Attestation de suivi de formation en Commerce International et Concurrence;22/06/2017 11:33
700;Attestation de stage de formation en Technique de vente;22/06/2017 11:33
701;BACC + 4;22/06/2017 12:01
702;formation en logiciel,technologie;22/06/2017 14:42
703;DTS multimedia;22/06/2017 14:45
704;Bacc+2 en commerce et marketing;23/06/2017 09:21
705;INFORMATIQUE BUREAUTIQUE ET MULTIMEDIA;23/06/2017 09:38
706;BACC Scientifique D;23/06/2017 09:38
707;Licence en  Management d'entreprise et banque;23/06/2017 09:38
708;Master1;23/06/2017 10:46
709;CLASSE TERMINALE;23/06/2017 12:22
710;Licence en gestion et comptabilite;23/06/2017 14:19
711;Bacc professinnelle G3 ou commerciaux ;23/06/2017 14:19
712;Informatique burequtique;23/06/2017 14:19
713;L1 en Gestion des Ressources Humaines;23/06/2017 14:47
714;Image formation;23/06/2017 14:52
715;Master I  en BTP;27/06/2017 11:15
716;BAE-BT;27/06/2017 11:29
717;Baccalauréat en G2;28/06/2017 06:41
718;Diplome de technicien Supérieur en Gémmologie;28/06/2017 07:24
719;Bachelor's degree in economics;28/06/2017 07:38
720;Attestation Informatique Bureautique et Multimédia;28/06/2017 07:43
721;Deuxième année de licence - Commerce international;28/06/2017 12:01
722;Diplome de technicien Supérieur en BTP;28/06/2017 14:01
723;baccalauréat série A2/Baccalauréat série D;28/06/2017 14:33
724;DSSC;28/06/2017 19:26
725;Formation en Assurance;29/06/2017 06:02
726;Diplôme de licence en Finance et comptabilité (Bacc + 3 );29/06/2017 06:02
727;Master 2 en cours en Gestion finance et Contrôle de gestion;29/06/2017 12:25
728;Attestation en Informatique;29/06/2017 13:38
729;License en Diplomatie et communication;29/06/2017 14:10
730;Master 2 en droit privé option droit des affaires;29/06/2017 21:04
731;Master 2 en informatique de gestion (en cours);29/06/2017 21:04
732;Licence en science sociale;30/06/2017 07:31
733;bacc+2 ne civilisetion et langue appliqué;30/06/2017 07:53
734;Master 2 EN SCIENCES ET DEVELOPPEMENT;30/06/2017 09:21
735;Master 1en science et développement;30/06/2017 09:21
736;Licence professionnelle agricole option agriculture;01/07/2017 12:55
737;Attestation en suivi et évaluation d'un projet;01/07/2017 12:55
738;BTS en gestion et comptabilité;01/07/2017 13:33
739;BACC+5 Gestion Finances et Comptabilité;03/07/2017 08:16
740;Baccalauréat Technique Tertiaire;03/07/2017 13:46
741;formation en gestion des ressources humaines;03/07/2017 14:40
742;certificat en PAO&MAO;04/07/2017 09:31
743;formation en gestion;04/07/2017 14:01
744;bacc technique;04/07/2017 14:16
745;DTS en droit;05/07/2017 06:08
746;Certificat de fin d'étude en (Bureautique;05/07/2017 08:15
747;Niveau terminale série A;05/07/2017 10:54
748;Bac + 5 en Economie option Administration d'entreprise;05/07/2017 13:12
749;certificat en langue allemande;06/07/2017 09:11
750;BACC + 2 en gestion;06/07/2017 14:02
751;Licence en Diplomatie et communication;06/07/2017 15:12
752;LICENCE PROFASSIONNELLE CONCEPTION ET GESTION BUDGETAIRE;07/07/2017 08:45
753;Goethe Zertifikat;07/07/2017 10:25
754;Licence en gestion option audit et contrôle interne;07/07/2017 12:08
755;LICENCE PROFESSIONNELLE CONCEPTION ET GESTION BUDGETAIRE;07/07/2017 13:54
756;DTS en Maintenance des Systèmes Informatiques;08/07/2017 08:15
757;OCA - Oracle Certificate Associate java;08/07/2017 10:14
758;Licence en Mathematiques;10/07/2017 08:11
759;"Certification in :  JAVA/Eclipse-Html5/css-JAVA ENTERPRISE EDITION(struts2,spring),C;C++, C#;UNIVERS INFORMATIQUES-CENTIC-MADA";10/07/2017 08:11
760;Maitrise en gestion , option FIinance et comptabilite;10/07/2017 14:40
761;Master 2 informatique, Option Administrateur systèmes et réseaux;10/07/2017 14:42
762;BACC+4 Manager en Contrôleur de Gestion;11/07/2017 08:40
763;BACC+5 en Contrôleur de Gestion et AUDITEUR;11/07/2017 08:40
764; B T S en restauration;11/07/2017 08:48
765;Diplômes d'Etudes Supérieures;11/07/2017 09:28
766;cepe.bepc.bacc;11/07/2017 11:33
767;Certificat Professinnel de base en Hotellerie;11/07/2017 14:47
768;Licence en Mathematique et Informatique;11/07/2017 15:12
769;Bacc séri D;11/07/2017 15:18
770;Titre RNCP 2 ;11/07/2017 19:17
771;Diplôme de concepteur en architecture des systèmes informatiques, Master 1( cours à distance);12/07/2017 05:24
772;bacc+2 communication;12/07/2017 06:11
773;Pas arrive a terme;12/07/2017 10:17
774;Diplome de licence professionelle en programmation et developpement d'application;12/07/2017 10:17
775;Formation en Hardware/ Electronique;12/07/2017 11:15
776;maîtrise en sociologie;12/07/2017 11:59
777;TECHNIQUE DE SECRÉTARIAT;12/07/2017 12:37
778;Bac+2 en informatique;12/07/2017 12:53
779;Bacc+2 en maintenance industrielle;13/07/2017 14:10
780;formation particulière en compta -gé;13/07/2017 14:42
781;Bacc+3 en geographie;14/07/2017 09:18
782;operateur de saisie/psychologie comportementale/informatique bureautique/Dactylographie;14/07/2017 12:57
783;Attestation de formation en leadership, en guidage;14/07/2017 13:43
784;DTSEI;14/07/2017 13:55
785;MAITRISE DROIT;14/07/2017 14:11
786;Licence en Electonique/Informatique;15/07/2017 09:57
787;Baccalauréat technique , BEP;18/07/2017 14:31
788;2ans d'experience commerce et marketing;18/07/2017 23:49
789;Technicien Supérieur en Informatique;19/07/2017 09:20
790;bac + 3 informatique;20/07/2017 11:12
791;Licence en informatique - Option Web et Design;20/07/2017 16:19
792;bacc+2 en civilisation et langue appliqué;21/07/2017 06:52
793;Formation en Economie et Gestion d'Entreprise;21/07/2017 07:24
794;Maîtrise en géographie;21/07/2017 08:16
795;2ème année en géographie;21/07/2017 11:24
796;BTS COMMERCE INTERNATIONAL;21/07/2017 12:27
797;Diplôme du Technicien Supérieure en Gestion;21/07/2017 13:41
798;BACC + 3 ElectroTechnique;21/07/2017 15:39
799;Bacc+3 en science sociale et développement;22/07/2017 10:43
800;Master I en gestion(étude économique);22/07/2017 17:14
801;BACC+2 en géographie;24/07/2017 11:14
802;Licence en traitement du signal et système et réseaux associés;24/07/2017 11:29
803;Diplôme d'études diplomatiques supérieures;24/07/2017 22:06
804;Anakeen Certified Engineer;24/07/2017 22:06
805;Formation en PAO et Site Web;25/07/2017 14:24
806; niveau avancé;26/07/2017 09:15
807;BTS bacc+2 en Commerce International et Marketing;26/07/2017 12:13
808;certificate of completion;26/07/2017 12:35
809;Certificat théâtrale;26/07/2017 13:01
810;Master(en cours);26/07/2017 14:39
811;diplome de technicien superieure en electromecanique et informatique;27/07/2017 02:35
812;Master 2 en Développement Rural et Agricole;27/07/2017 08:55
813;licence professionnelle  en Production Végétale  ;27/07/2017 08:55
814;BACC Scientifique C avec mention AB;27/07/2017 08:55
815;en cours d obtention de licence en informartique;27/07/2017 10:18
816;sécretariat bureautique;27/07/2017 11:43
817;Informatique bureautique;27/07/2017 11:43
818;Diplôme d'études universitaire en comptabilité et gestion;27/07/2017 11:43
819;Certificat de fin de Formation Professionnelle Qualifiante en Mécanique Automobile;27/07/2017 20:08
820;Formation sur les techniques d'Agence de Voyages;28/07/2017 07:53
821;Licence en Science du Tourisme                                         Parcours Communication et Langues Appliquées au Tourisme;28/07/2017 07:53
822;Licence en Langues et Cultures Hispaniques;28/07/2017 07:53
823;Bac G3 ;28/07/2017 09:27
824;licence professionnelle en génie industriel;29/07/2017 08:55
825;Maîtrise es-lettres en Archéologie et histoire de l’art;29/07/2017 14:33
826;Infographie;29/07/2017 14:33
827;Master 2 biologie;31/07/2017 00:37
828;Ingénieur Agronome;31/07/2017 11:08
829;BAC+2 COMPTA;01/08/2017 12:39
830;DIPLOME D'ADMINISTRATION D'ENTREPRISE;02/08/2017 13:10
831;BREVET DE CAPACITE PROFESSIONNELLE EN COMMERCE INTERNATIONAL ;02/08/2017 13:10
832;DIPLOME DE COMPETENCE EN MANAGEMENT ;02/08/2017 13:10
833;Niveau Terminal série B;02/08/2017 13:40
834;CERTIFICAT  DE FORMATION DOUANES;03/08/2017 07:32
835;Licence en tourisme;03/08/2017 21:27
836;secretariat;04/08/2017 13:51
837;Bacc+3 en Droit privé;04/08/2017 15:26
838;Diplome de Technicien supérieur en Tourisme et Hotellerie;06/08/2017 14:15
839;2 ans d'étude en Geographie et Environnement;06/08/2017 14:15
840;Licence en Communication et organisation;07/08/2017 07:05
841;Baccalauréat technique et BEP;09/08/2017 09:57
842;Certificat de fin de formation en Tourisme;09/08/2017 13:44
843;Formation Professionnel en télécommunication;09/08/2017 13:50
844;Formation en programmation sous Acces et Visual Basic;09/08/2017 15:03
845;License en siences de la vie;09/08/2017 15:15
846;Tronc commun économie;10/08/2017 13:15
847;2 ème année en Génie Industrielle en maintenance ;11/08/2017 12:26
848;Formation en bureautique;11/08/2017 12:50
849;"DELF A1; A2; B1; B2";11/08/2017 14:45
850;Formation en Gestion Commercial;11/08/2017 15:01
851;Technicien Supérieur en Technologie Navale;12/08/2017 10:52
852;Master 1 Histoire socio-culturel;14/08/2017 12:25
853;Maîtrise en Gestion finance et comptabilité;14/08/2017 15:00
854;MASTER II (BACC+5);16/08/2017 07:35
855;DUGCI;16/08/2017 07:57
856;MSGCI ( Commerce Internationa );16/08/2017 07:57
857;licence professionnelle en  commerce;16/08/2017 07:57
858;Diplome de fin de formation en Ressources Humaines;16/08/2017 07:57
859;Diplome de fin de formation en Administration du Personnel;16/08/2017 07:57
860;DTS en gestion ;16/08/2017 09:50
861;Maitrise en Gestion, Management et Administration d'Entreprise;16/08/2017 11:25
862;BACC + 3;16/08/2017 13:50
863;Licence en informatique et mathematiques;17/08/2017 08:46
864;Licence es-lettres en Etudes Culturelles_Mention Assez bien;17/08/2017 11:17
865;bacc+2 en admnistration des affaires;18/08/2017 08:54
866;formation en Infographie;18/08/2017 13:59
867;C.A.P Mécanique Auto;18/08/2017 14:19
868;Baccalauréat ACTC;18/08/2017 14:32
869;M1 en informatique parcours Génie Logiciel;18/08/2017 14:49
870;master 1ou Bac+4;19/08/2017 13:13
871;"Troisieme année en informatique ; branche reséau et systeme ( licence en cours )";19/08/2017 13:38
872;Master 1 en Commerce international;20/08/2017 11:29
873;Cours d'anglais ;21/08/2017 12:36
874;Licence en ;21/08/2017 13:50
875;Baccalauréat scientifique C;21/08/2017 14:49
876;Formation professionelle en informatique beaurotique et programation ;21/08/2017 14:57
877;Master 2 en informatique en Adminstration Systeme et Reseau;22/08/2017 06:51
878;licence d'anglais;22/08/2017 07:33
879;licence professionnelle en entrepreneuriat du tourisme et d'hôtellerie;22/08/2017 07:33
880;Licence en Management;22/08/2017 08:18
881;Baccalauréat A;22/08/2017 13:23
882;BACC + 3 DPAEC option Finance;22/08/2017 14:05
883;Licence professionnelle en Tourisme;23/08/2017 08:57
884;Commerce International;23/08/2017 10:16
885;master 1 en management et developpement d'entreprise ;23/08/2017 12:00
886;licence en management et developpement d'entreprise ;23/08/2017 12:00
887;Licence en Communication et Management d'entreprise;24/08/2017 10:40
888;Master 1 (2 semestres effectuees)  en Langue, Communication et Management d'entreprise ;24/08/2017 11:26
889;Certificat de formation en Gemmologie;24/08/2017 11:49
890;Attestation de fin d'etude en langue anglaise;24/08/2017 11:56
891;Attestation de creation de projet;24/08/2017 12:03
892;Attestation de formation en gestion d'entreprise;24/08/2017 12:06
893;Master 2 en btp;24/08/2017 20:00
894;DES en Techniques de Commercialisation;25/08/2017 11:23
895;DUP en la mer et du littoral;25/08/2017 13:48
896;Attestation sur l'hygiene alimantaire , la methode HACCP,les analyses d'autocontrole de produit . Au projet de Controle qualité;25/08/2017 13:48
897;Master 1 en droit public i nterne et international;25/08/2017 15:14
898;Téléopérateur/ Vendeur;28/08/2017 09:14
899;Certificat Commercial;28/08/2017 09:14
900;Licence professionnel en Gestion et Mangement;28/08/2017 09:31
901;bac+3 en gestion commerce;28/08/2017 09:34
902;Certificat de fin d'etude en commerce internationale transit et douane;28/08/2017 16:34
903;Licence en Es Lettre Histoire, science du savoir, art et développement;29/08/2017 09:37
904;LICENCE en Gestion Généraliste ;29/08/2017 09:42
905;Licence en langues appliquées au tourisme;29/08/2017 13:36
906;license en gestion commerciale;29/08/2017 15:06
907;Certificat de fin d'étude en commerce  internationale;29/08/2017 16:24
908;master 2 en économie et commerce;29/08/2017 17:00
909;Master 2 en Management d'entreprise ;29/08/2017 18:15
910;Qualification commerce;30/08/2017 06:28
911;Bacc scientifique seri D;30/08/2017 07:10
912;BTS en Management et Gestion d'Entreprise;30/08/2017 08:29
913;Diplôme d’Etude Supérieur en Management (M1);30/08/2017 08:56
914;Diplôme de Licence Professionnelle en Science de Gestion (L3);30/08/2017 08:56
915;Diplôme de Technicien Supérieur (L2);30/08/2017 08:56
916;DTS en Bâtiment;30/08/2017 09:32
917;Cours d'informatique bureautique et comptable et technique de secrétariat;30/08/2017 11:58
918;Licence en langue, culture et management;30/08/2017 15:25
919;Diplôme universitaire d'études Littéraire ;31/08/2017 08:42
920;Diplôme Baccalauréat Série G2;31/08/2017 09:08
921;DUEL II en Histoire;31/08/2017 10:06
922;Deuxièeme année en Droit;31/08/2017 11:05
923;Master I en droit public interne et international;31/08/2017 11:31
924;Diplôme de Technicien Supérieur en Informatique, base des données et génie logiciel ;31/08/2017 11:34
925;BACC technologie;31/08/2017 11:38
926; Licence Professionnel en Informarique;31/08/2017 12:29
927;Maîtrise M1 en Médiation et Management Culturels. (Département d’Etudes Française et Francophone DEFF, Université d’Antananarivo);31/08/2017 13:42
928;Attestation en Agent de developpement Local;31/08/2017 13:44
929;Diplôme d'Etat en Medecine Veterinaire;31/08/2017 13:52
930;BAE Aide_Comptable;31/08/2017 15:26
931;BACC + 4 CONTRÔLE DE GESTION ET CONCEPTION BUDGETAIRE;01/09/2017 08:16
932;Diplôme d’Etudes Supérieur en Action Commerciale;01/09/2017 08:38
933;Niveau Bacc+4 en Gestion-Finance;01/09/2017 08:39
934;Maitrise Spécialiée en Contrôle de gestion et en Conception Budgétaire;01/09/2017 10:14
935;Maitrise 2 Spécialiée-Accompagnateur en création d'entreprise/ intelligence économique/innovation n et en Conception Budgétaire;01/09/2017 11:18
936;Foramtion sur développement personnel et communication interpersonnelle/ Technique de Management ;01/09/2017 11:20
937;Formation d' Anglais;01/09/2017 11:23
938;Perfectionnement sur Management, Leadership;01/09/2017 11:25
939;Formation sur paramétrage de sage ligne 100;01/09/2017 11:27
940;Leadership et gestion des ressources humaines;01/09/2017 11:28
941;bacc +3 DPAEC , Comptable Finance;01/09/2017 11:30
942;Master 1 GESTION FINANCE;02/09/2017 07:57
943;certificat hotellerie tourisme ;02/09/2017 18:57
944;Fascicule en AVIATION MARITIME;02/09/2017 18:57
945;Certificat de fin d'étude Anglophone;02/09/2017 18:57
946;Français des Affaires Niveau A;04/09/2017 12:47
947; BEPC (Brevet d’ Etude du premier Cycle);04/09/2017 14:55
948;Certificat Professional Server Specialist ( PSS );05/09/2017 09:47
949;Certificat en DESKTOP SYSTEMS ET en NOTEBOOK SYSTEMS;05/09/2017 09:52
950;Certificat en Architecture serveur IBM xSeries et PC IBM;05/09/2017 10:00
951;Attestation de stage pour Le X-ARCHITECTURE et IBM serveur BladeCenter;05/09/2017 10:02
952;"Anglais ""Niveau Intermédiaire";05/09/2017 10:06
953;Formation en Informatique bureautique et Dactylographie;05/09/2017 11:48
954;Baccalauréat Technique Professionnel ;05/09/2017 12:38
955;Certificat 1 en Anglais ;05/09/2017 12:42
