id;diplome;created
125;Diplôme de MAGISTERE PREMIERE PARTIE EN ETUDE ECONOMICOGESTIONNAIRE (BACC+4) EN GESTION au CNTEMAD (Spécialité: Études financières et comptables);03/02/2017 16:44
126;bacc D;06/02/2017 09:48
127;Licence en agriculture;06/02/2017 09:48
128;Master 2 en agriculture;06/02/2017 09:55
129;Certicat de fin de formation en bureautique informatiques;06/02/2017 11:41
130;Certificat de fin de formation en comptabilite general et informatise;06/02/2017 11:45
131;Licence en Reseau et Maintenance des Systemes Informatiques;06/02/2017 16:19
132;bac en A2;08/02/2017 06:52
133;Baccalaureat serieD;08/02/2017 15:33
134;2eme annee en gestion;08/02/2017 15:33
135;Bureautiques sous windows;08/02/2017 15:33
136;Licence en Informatique développement d'application;13/02/2017 09:38
137;Niveau d'étude BAC+2 en gestion;13/02/2017 09:38
138;BACC G2;13/02/2017 09:38
139;BEP G2;13/02/2017 09:38
140;communication anglaise;13/02/2017 09:45
141;Licence en gestion [Compta & Finance];13/02/2017 10:13
142;LICENCE PROFESSIONNEL EN FINANCE ET COMPTABILITE;13/02/2017 10:17
143;Licence professionnel en Télécommunication;13/02/2017 12:09
144;BACC C;13/02/2017 12:09
145;Certification Anglais;13/02/2017 12:09
146;Certification Packs office microsoft;13/02/2017 12:09
147;Ingénieur en informatique de gestion;13/02/2017 13:24
148;BAC A2,DTS(Diplôme de Technicien supérieur) en DROIT, Licencece en cours de rédaction de mémoire ;13/02/2017 13:37
149;bac A2 ;13/02/2017 13:44
150;L1  en interpretariat/ diplomatie/ sciences politiques ;13/02/2017 13:44
151;L2 en interpretariat/ diplomatie/ sciences politiques + stage de 02 mois avec certificat de stage au près de la Ministère des Travaux Publics;13/02/2017 13:44
152;L3 en DROIT ;13/02/2017 13:44
153;Ingénieur en Informatique de gestion et genie logiciel;13/02/2017 14:45
154;Diplome de technicien supérieur;14/02/2017 11:03
155;Ingénieur en Informatique de Gestion, Génie Logiciel et Intelligence Artificielle;14/02/2017 13:13
156;Licence en Informatique de Gestion, Génie Logiciel et Intelligence Artificielle;14/02/2017 13:13
157;x;14/02/2017 13:30
158;Formation professionnelle en Informatique -Cycle Bureautique;14/02/2017 16:31
159;Licence en Gestion Finances;15/02/2017 09:24
160;2eme année Management Economique et Sociale;15/02/2017 10:06
161;Master 2 en Economie et Développement;15/02/2017 13:46
162;BAC A2,DTS(Diplôme de Technicien supérieur) en DROIT, Licence en cours de rédaction de mémoire ;16/02/2017 07:52
163;Diplôme d’Etudes Supérieures Professionnelles Approfondis (Bacc+4) ;16/02/2017 11:22
164;DTS en Tourisme Management;16/02/2017 14:54
165;3ème année de LICENCE en Technique de communication des entreprise;16/02/2017 14:54
166;1er année commerce et marketing;17/02/2017 11:33
167;2em année en gestion et management;17/02/2017 11:33
168;PAO / maintenance informatique;17/02/2017 11:33
169;Master 2 en informatique;17/02/2017 11:54
170;DTS, Développeur d'application;17/02/2017 12:12
171;Licence, Base de données et Genie Logiciel;17/02/2017 12:12
172;Maîtrise en Droit public;18/02/2017 18:38
173;L3 en DROIT (en cours);20/02/2017 15:32
174;Formation  Packs office microsoft;20/02/2017 16:06
175;Formation en anglais de communication ;21/02/2017 16:18
176;DES en commerce International (Bac+2);22/02/2017 11:03
177;PAO ;23/02/2017 07:37
178;DTS  en audio-visuel;23/02/2017 13:52
179;Licence en Informatique sans soutenance;26/02/2017 00:26
180;Bacc Pro en Comptabilité de Gestion (Mention assez bien);26/02/2017 14:54
181;Formation en informatique et internet ;27/02/2017 07:24
182;1ère année en Sociologie ;27/02/2017 07:24
183;Baccalauréat en série A2 ;27/02/2017 07:24
184;BACC Scientifique;27/02/2017 15:08
185;Master 1 en droit privé;27/02/2017 21:07
186;Préparation du diplome de Master I en Base de données et Génie Logiciel ;28/02/2017 07:20
187;Lisence en informatique;28/02/2017 08:51
188;Master 2  en informatique option télécommunication;28/02/2017 09:12
189;Maitrise en gestion(option finance et comptabilité);28/02/2017 13:26
190;Diplôme de technicien supérieur spécialisé en génie civil (licence 3 en bâtiment et travaux publics);28/02/2017 14:08
191;chef de chantier en BTP ;28/02/2017 14:27
192;BAC G2;28/02/2017 16:14
193;DTS en Finances et Comptabilité;28/02/2017 16:14
194;Informaticien de gestion ES;28/02/2017 17:01
195;MCTS SQL Server BI 2008;28/02/2017 17:01
196;Formation Oracle 10g / 3 thirds;28/02/2017 17:01
197;Formation et certificat « Forms 4.5 / Level 2 »;28/02/2017 17:01
198;Certificate of Achievement (intermediate level);28/02/2017 17:01
199;English Course Certificate;28/02/2017 17:01
200;Diplôme en Maintenance Approfondies;01/03/2017 00:31
201;Diplôme en Informatique de Gestion;01/03/2017 00:31
202;MAITRISE EN DROIT;01/03/2017 09:24
203;LICANCE EN DROIT;01/03/2017 09:24
204;DEUG;01/03/2017 09:24
205;Licence en gestion de l'environnement aux service de développement;01/03/2017 10:57
206;2 éme année en Informatique;01/03/2017 11:20
207;DTS Informatique de gestion;01/03/2017 11:32
208;Licence en droit privé et des affaires;01/03/2017 15:51
209;sage femme;02/03/2017 07:50
210;Cablage, paramétraghe et gestion d'un parc informatique: gestion des utilisateurs, partages des dossiers, attribution de droits d'accès aux données, partage des imprimantes;02/03/2017 16:08
211;Baccalauréat Professionnelle en Electrotechnique;03/03/2017 09:04
212;Brevet d'Etude Professionnelle en Electrotechnique;03/03/2017 09:04
213;certicat de fin de formation en attaché commerciale;03/03/2017 16:16
214;DTS en gestion magement;06/03/2017 08:56
215;Technicien Supérieur ;06/03/2017 11:01
216;Licence en Administration et Gestion d Entreprise;06/03/2017 12:31
217;formation en informatique (bureautique, word, excel, powerpoint, bureautique plus, internet, scan;07/03/2017 13:03
218;stage dans le service de Vulgarisation et Marketing;07/03/2017 13:29
219;bacc electronique;07/03/2017 14:09
220;Master 2 (en cours de stage);07/03/2017 15:05
221;BTS bacc+2;07/03/2017 15:36
222;DTS(Diplôme de Technicien supérieur) en DROIT;08/03/2017 14:29
223;Coiffeuse Estheticienne Profesionnelle;08/03/2017 14:29
224;Licence en Informatique (Génie  logiciel et système d'information);08/03/2017 16:00
225;maitrise en gestion;09/03/2017 10:11
226;BACC+3 en Gestion;09/03/2017 12:11
227;Baccalauréat technique;10/03/2017 08:48
228;Master 2 en droit privé;10/03/2017 14:53
229;licence professionnelle en Droit privé, option Affaires;10/03/2017 15:22
230;Master 1 en Droit privé, option Affaires;10/03/2017 15:29
231;Master 2 en Droit privé, option Affaires;10/03/2017 15:31
232;BAC+4;11/03/2017 13:09
233;Licence en géstion;13/03/2017 10:00
234;Bacc + 3 en inforamtique;13/03/2017 10:00
235;Licence en Droit;13/03/2017 10:56
236;Master I en sciences commerciales;13/03/2017 12:17
237;Licence en sciences commerciales;13/03/2017 12:17
238;DTS en Administration d'entreprise ;13/03/2017 12:17
239;Diplôme de brevet d'études professionnelles en éléctronique;13/03/2017 16:06
240;Formation en attachée commerciale;13/03/2017 16:23
241;1ère année en droit ;13/03/2017 16:26
242;Diplôme professionnel en Administration des entreprises et commerce;13/03/2017 16:36
243;DES en langues étrangères appliquées;13/03/2017 16:37
244;Licence Professionnelle en Développement d'Application;14/03/2017 06:16
245;DES en administration économique et sociale;14/03/2017 07:28
246;Licence en communication;14/03/2017 08:11
247;Certification d'étude d'anglais;14/03/2017 08:11
248;Baccalauréat série A1;14/03/2017 08:11
249;2ème année en développement web et application;14/03/2017 09:14
250;tronc commun en ingénierie de l'environnement;14/03/2017 15:28
251;Licence en informatique parcours réseaux et maintenance des systèmes informatiques;14/03/2017 16:01
252;Attestation en informatique bureautique;15/03/2017 15:38
253;Attestation en langue française;15/03/2017 15:50
254;certificat de fin de formation en comptabilité générale et informatisée ;15/03/2017 16:03
255;formation à distance en gestion 1ère année  ;15/03/2017 16:06
256;certificat en langue anglaise;16/03/2017 11:08
257;Licence en commerce;16/03/2017 11:08
258;certificat sur la langue anglaise;16/03/2017 11:08
259;Licence en droit public;16/03/2017 15:44
260;BTS bacc+2 en génie industrielle;16/03/2017 15:52
261;MASTER I , LICENCE , DTS;17/03/2017 14:26
262;Baccalauréat G2;17/03/2017 15:30
263;Brevet d'Etude Professionnelle;17/03/2017 15:30
264;MECANIQUE AUTOMOBILE;20/03/2017 09:21
265;Breve detude du premier cycle de lenseignement secondaire;20/03/2017 09:21
266;Baccalauréat scientifique;20/03/2017 12:19
267;études en Biotechnologie;20/03/2017 12:35
268;Brevet d'études professionnels ;20/03/2017 12:40
269;Baccalauréat technique en bâtiment et travaux publics ;20/03/2017 12:41
270;technique commercial;20/03/2017 13:22
271;BTS en informatique;20/03/2017 15:06
272;Licence en Bâtiment et Travaux publics;21/03/2017 08:05
273;Master (Ingéniorat) en Bâtiment et Travaux publics;21/03/2017 08:05
274;Certificat en informatique bureautique;21/03/2017 13:49
275;Formation professionel en tourisme et hotellerie ;21/03/2017 13:49
276;licence en gestion option finance et comptabilite, etudiante en troisième sociologie;21/03/2017 17:09
277;Licence en Anglais ;22/03/2017 08:42
278;Baccalauréat technique (comptabilité/Gestion);22/03/2017 08:52
279;Maitrise es sciences économiques;22/03/2017 08:52
280;Licence ès sciences économiques (option: Administration d'entreprise);22/03/2017 08:52
281;2ème année en informatique ;22/03/2017 08:54
282;Licence en informatique (en cours);22/03/2017 08:55
283;1ère année en informatique;22/03/2017 08:56
