id;universite;created
566;Lycée Sainte Famille Anosivavaka;26/08/2017 18:39
567;LSFA;26/08/2017 18:58
568;Lycée Technique Professionnel de Mahamasina;27/08/2017 13:55
569;Pro Acta;28/08/2017 09:14
570;INFO SYSTEME MANAGEMENT;28/08/2017 16:34
571;Lycée privé ARCADE;28/08/2017 16:34
572;CEG Andranonahoatra;28/08/2017 16:34
573;EPP Itaosy;28/08/2017 16:34
574;Lycée de Sainte Marie;29/08/2017 09:35
575;FLSH Ankatso;29/08/2017 09:37
576;FORMATION DES TECHNICIENS SUPERIEURS TOLIARA (FTS);29/08/2017 10:27
577;EPEPSAA;29/08/2017 11:31
578;UNIVERSITE ANTSIRANANA;29/08/2017 13:00
579;barikadimy Toamasina;29/08/2017 15:06
580;CTPCI 67 Ha;29/08/2017 16:19
581;collège Condorcet;30/08/2017 06:28
582;Centre Retravailler;30/08/2017 06:28
583;Lycée FJKM Andriamanarefo;30/08/2017 07:10
584;CEG Analamahintsy;30/08/2017 07:10
585;EPP Analamahintsy;30/08/2017 07:10
586;FORMATION DES TECHNICIENS SUPERIEURS TOAMASINA I (FTS);30/08/2017 08:29
587;Ecole Supérieure Sacré Coeur Antanimena (ESSCA);30/08/2017 08:56
588;Lycée Privée Saint Joseph Antsirabe;30/08/2017 08:56
589;MCP Antaninadro;30/08/2017 11:58
590;Lycée NDA;30/08/2017 15:25
591;CFAC Antanimena « St François Xavier » (Centre de Formation aux Activités du Commerce);31/08/2017 09:08
592;CNTMAD;31/08/2017 11:05
593;ONG FITIAVANA Mahazoarivo Nord;31/08/2017 11:38
594;Lycée privée Fo Masin'i Jesoa Talatamaty;31/08/2017 12:29
595;FLSH Ankatso Université d'Antananarivo;31/08/2017 13:42
596;FFF MM / IMD – DL Anosisoa Ambohimanarina;31/08/2017 13:44
597;Lycée Ambohimanambola;31/08/2017 13:52
598;NOTRE DAME DE LOURDE  ;01/09/2017 08:16
599;IUM Isoraka (Institut Universitaire de Madagascar);01/09/2017 08:38
600;ESSCA Antanimena (Ecole Supérieure Sacré-Coeur Antanimena);01/09/2017 08:39
601;New Concept Information Technology (NCIT) BIONEXX SA;01/09/2017 10:14
602;ISAA-UNIVERSITE DE SFAX Tunisie /Campus Numérique Francophone d'Antananarivo;01/09/2017 11:18
603;COACH PARTNER -COTTOLINE;01/09/2017 11:20
604;London Business Academy of Antananarivo par Derek Havelock;01/09/2017 11:23
605;Textiles Human Ressources Council de Canada en collaboration avec Harvard University, formation en ligne par le Groupe SOCOTA;01/09/2017 11:25
606;IMGMAM/F.P.A.E.C;01/09/2017 11:30
607;RADRIANAMPANDRANA;02/09/2017 18:57
608;ENEM;02/09/2017 18:57
609;ESC;02/09/2017 18:57
610;Collège Saint Pierre Chanel Ihosy;04/09/2017 08:01
611;Centre Américain Ambohidahy;04/09/2017 12:47
612;Lycée privée Hasina Sab/nam;04/09/2017 14:55
613;EPP Andrebakely;04/09/2017 14:55
614;IBM France;05/09/2017 09:47
615;LENOVO;05/09/2017 09:52
616;Rapidos;05/09/2017 11:48
617;.;05/09/2017 12:38
618;Formation Professionnelle Mantasoa;05/09/2017 12:42
619;Saint Michel Amparibe (SAMIS-ESIC);05/09/2017 13:41
620;Saint Mathieu Amboasary Gara;05/09/2017 15:32
621;IMGAM  / EPEP;06/09/2017 03:04
622;Lycée Technique Professionnel de Mahamasina (LTPGCM);06/09/2017 09:34
623;Lycée FJKM Antanisoa;06/09/2017 11:30
624;INSTAT;06/09/2017 11:32
625;Chocolaterie Robert;06/09/2017 11:34
626;Centre Nationale de Télé-Enseignement de MADagascar ou CNTEMAD;06/09/2017 14:09
627;ISFPS Leader;06/09/2017 14:11
628;FJKM Ambatomanga Manjakandriana;06/09/2017 15:04
629;Webmaster Madaweb;06/09/2017 15:04
630;CFTPRO » Ambohimanarina Ambodimita;06/09/2017 15:04
631;Université Montpellier 3;07/09/2017 08:34
632;Université Lyon 2;07/09/2017 09:20
633;ISIME Betongolo;07/09/2017 09:35
634;ESCOM;07/09/2017 10:19
635;Institut Malgache des Innovations (IMI) Antananarivo;07/09/2017 14:11
636;Faculté DEGS à l'Université Antananarivo;07/09/2017 14:41
637;Leader Info Tsiadana;07/09/2017 14:42
638; Collège Condorcet;08/09/2017 15:07
639;Harold Washigton College;09/09/2017 16:03
640;Istituto Mystici Corporis. Montet (Broye), Suisse;09/09/2017 16:03
641;Istituto Mystici Corporis. Florence, Italie;09/09/2017 16:03
642;Saint Joseph Andohalo;11/09/2017 15:11
643;IMGAM / EPEP;12/09/2017 11:28
644;EPEP Manjakaray;12/09/2017 11:42
645;Marthe Hervé ;13/09/2017 06:16
646;CFPMA Ivato;13/09/2017 10:20
647;  ASFOR Tanjombato  ;13/09/2017 14:44
648;ASFOR Tanjombato  ;13/09/2017 14:55
649;Ecole supérieure spécalisée du Vankinakaratra;14/09/2017 11:52
650;DREN/EP;14/09/2017 11:56
651;Tuléar;14/09/2017 13:53
652;AFT;14/09/2017 15:19
653;Lycée Privée  La Tourterelle Andoharanofotsy;14/09/2017 15:39
654;ETP;14/09/2017 15:44
655;Ecole Nationale d'Informatique de Fianarantsoa (ENI);14/09/2017 15:51
656;Sacre Cœur Anosisoa ;15/09/2017 08:42
657;Lycée privée Hasina Sabotsy Namehana;15/09/2017 13:47
658;CENTEMAD;16/09/2017 10:24
659;SFX Fianarantsoa;17/09/2017 13:47
660;ISAP;17/09/2017 14:00
661;Faculté de science de Mahajanga;18/09/2017 07:01
662;"à                            ISPAg (Institut Supérieur Privé Agricole) ; Antananarivo";19/09/2017 11:37
663;Sacré coeur Anosisoa;19/09/2017 14:53
664;C.T.R.L.G;20/09/2017 06:21
665;Accem Analakely;20/09/2017 06:22
666;centre de formation aux activités du commerce Saint François-Xavier;20/09/2017 06:27
667;ESCOGES;20/09/2017 06:28
668;niveau terminal;20/09/2017 09:06
669;ankatso confusius;20/09/2017 14:07
670;Ecole BIT akatso;20/09/2017 15:30
671;FJKM Ambatomanga;21/09/2017 08:46
672;Société x en webmastering;21/09/2017 08:53
673;CFM (Centre de Formation des Métiers);21/09/2017 08:53
674;ORN Atsimo Atsinanana;21/09/2017 08:53
675;PSI Madagascar;21/09/2017 08:53
676;BIT Formation (Tuléar);21/09/2017 08:53
677;Alliance Française de Tuléar;21/09/2017 08:53
678;FANASINA SERVICE Farafangana;21/09/2017 08:53
679;Microfinance;21/09/2017 08:53
680;CNaPS Farafangana;21/09/2017 08:53
681;Lycée de Vangaindrano;21/09/2017 08:53
682;CFTPRO Ambohimanarina Ambodimita;21/09/2017 08:59
683;Lycée Saint Gabriel Mahajanga;21/09/2017 09:40
684;Ecole Supérieur Polytechnique d'Antananarivo;21/09/2017 09:40
685;Lycée privé Rasalama;21/09/2017 10:11
686;Proup Info Ambohipo;21/09/2017 11:09
687;Faculté des Sciences ;21/09/2017 11:17
688;Facultés des sciences;21/09/2017 11:23
689;Ministère de la jeunesse et des sports;21/09/2017 11:25
690;C.A.T;21/09/2017 11:26
691;LTP Ampasampito;21/09/2017 12:57
692;INSCAE  Madagascar;21/09/2017 15:35
693;Sniper Hire;22/09/2017 08:24
694;Hay Group;22/09/2017 11:27
695;White & White Associates ;22/09/2017 11:28
696;Satyam group;22/09/2017 11:31
697;Exact Software;22/09/2017 11:35
698;cfpa;25/09/2017 08:32
699;Lycée Catholique Arivonimamo;25/09/2017 11:33
700;EPCT ANALAMAHITSY;25/09/2017 13:03
701;Alliance Française de sainte marie;25/09/2017 13:06
702;société JB Amboditsiry;25/09/2017 14:34
703;université Andrainjato Fianarantsoa;26/09/2017 09:02
704; ISPAg (Institut Supérieur Privé Agricole)  ;26/09/2017 13:41
705;ltp Beravina;26/09/2017 19:47
706;UNIVERSITE ECONOMIE GESTION AN DRAIN JATO;26/09/2017 19:47
707;IEFPA-ACEEM ;27/09/2017 07:11
708;Lycée Jean Joseph Rabearivelo;27/09/2017 07:18
709;Lycée Sainte Thérèse Andasibe Ampefy;27/09/2017 07:49
710;CFRH - Centre de Formation des Ressources Humaines;27/09/2017 08:54
711;université Fianarantsoa;27/09/2017 09:59
712;Malagasy professionnels de l'élevage;27/09/2017 10:51
713;Fianaratsoa;27/09/2017 11:02
714;Lycée Saint Jean Bosco;27/09/2017 11:41
715;Lycée Ambatolampy;27/09/2017 15:02
716;Société en Textile;27/09/2017 15:06
717;Institut Supérieur en Informatique et en Gestion à Soavimbahoaka;28/09/2017 07:09
718;FAC Degs Fianarantsoa;28/09/2017 09:22
719;LPC faravohitra;28/09/2017 09:52
720;Les Bambin Sages Ambohidroa;28/09/2017 09:52
721;Imgam fpaec Antananarivo;28/09/2017 09:52
722;Cabinet Passation Des Marchés Publics – Conseils;28/09/2017 10:08
723;Institut confucius;28/09/2017 10:14
724;INSCAE  67ha;29/09/2017 15:04
725;ISSIG Soavimbahoaka;30/09/2017 12:23
726;SYGOP;02/10/2017 10:59
727;IHEC ;05/10/2017 08:10
728;Lycée privé Nicoletta;05/10/2017 09:05
729;SOFT FORMATION AND DEVELOPPMENT ( SFD);06/10/2017 08:50
730;Ecole supérieure spécalisée du Vakinakaratra;06/10/2017 09:20
731;Lycée Saint Antoine;06/10/2017 09:27
732;IPAC;09/10/2017 09:23
733;ABC Ambohibao;09/10/2017 09:49
734;ELI Ampasamadinika;09/10/2017 10:16
735;Centre d'Echanges de Documentation et d'Information inter-Institutionnel;09/10/2017 13:42
736;CNTEMAD (Télé- enseignement) Ankadifotsy;10/10/2017 08:40
737;Lycée mixte Antsiranana;11/10/2017 06:17
738;Institut Supérieur en Sciences de l’Environnement et de Gestion ;11/10/2017 06:21
739;Fianarantsoa;11/10/2017 09:53
740;Chambre de Commerce et de l'Industrie;11/10/2017 10:03
741;RH Consulting;11/10/2017 13:05
742;Institut Sainte Famille Mahamasina;12/10/2017 14:40
743;ACEEM Manakambahiny;13/10/2017 09:49
744;CTF ;13/10/2017 10:13
745;MELI Antanimena;13/10/2017 13:39
746;ISFGI Antamponjina ;16/10/2017 08:47
747;TGF;16/10/2017 08:47
748;APIMF;16/10/2017 14:56
749;AJERH;16/10/2017 14:56
750;Institut de Managment des Arts et Métiers;17/10/2017 11:05
751;H Formation;17/10/2017 11:05
752;Univ INFO;17/10/2017 14:23
753;rossignols;18/10/2017 11:27
754;Laboratoire IMRA;18/10/2017 15:04
755;Lycée Privé St Philipe et Jacques;18/10/2017 15:11
756;Collège St Joseph;18/10/2017 15:15
757;CPE (Cours des Professionel Experimenté);19/10/2017 07:41
758;Lenovo Learning Center (online);19/10/2017 09:16
759;ESP BIG;19/10/2017 09:18
760;ACCEM Ankadivato;19/10/2017 13:22
761;Lycée ACCEM Ankadivato;19/10/2017 14:15
762;ETFPS RLG ;19/10/2017 14:34
763;AFACO;19/10/2017 15:02
764;Sekolintsika Analamahintsy Cité;20/10/2017 07:26
765;FJKM Ambohimamory;20/10/2017 17:17
766;ISPEFMAD;21/10/2017 10:13
767;Institut de Formation Professionnelle AJEECM ;23/10/2017 09:07
768;AIR Magagascar;23/10/2017 09:31
769;Lycée Séraphin;23/10/2017 10:16
770;IFP Mihary;23/10/2017 13:01
771;Radama Anjanahary;23/10/2017 14:22
772;Madajob;24/10/2017 11:26
773;JADE;25/10/2017 08:42
774;CEG TANJOMBATO;25/10/2017 08:42
775;MIRINDRA COLLEGE;25/10/2017 08:42
776;ISECOM;25/10/2017 09:27
777;TIC Isoraka;25/10/2017 12:38
778;Lycée privé Aina Arivelo;25/10/2017 12:44
779;CFPA Anosibe;25/10/2017 13:52
780;pigier toulouse;26/10/2017 05:06
781;CRP Consulting ;26/10/2017 05:06
782;Esslingen Talatamaty;26/10/2017 09:41
783;ORANGE SCHOOL;26/10/2017 12:05
784;LYCEE PRIVEE JADE;26/10/2017 14:19
785;Sacre Coeur Tuléar Centre;27/10/2017 08:08
786;IMGAM ANTANANARIVO;27/10/2017 09:19
787;ucm ambatoroka;27/10/2017 09:27
788;UPA Manakambahiny;27/10/2017 12:55
789;Univ Info Ampandrana;27/10/2017 12:55
790;UAZ ( UNIVERSITE ADVENTISTE ZURCHER);27/10/2017 13:59
791;CEG Analamahitsy;27/10/2017 15:02
792;Lycée Antananarivo;27/10/2017 15:33
793;IMAGE APPLI;27/10/2017 15:44
794;Ste Famille Mahamasina;27/10/2017 15:44
795;région Analamanga;27/10/2017 15:44
796;TSIRO AINA;27/10/2017 15:44
797;FORMATION CONTINUE EN ADMINISTRATION BACC+4 FSSP;27/10/2017 17:03
798;Lycée privée Antanisoa;28/10/2017 08:03
799;Institut Supérieur Spécialisé en Informatique et en Gestion (ISSIG);28/10/2017 15:01
800;Collège Notre dame de lourde;28/10/2017 21:32
801;UNIVERSITE D'ANTANANARIVO, Faculté des Sciences;30/10/2017 09:13
802;ST Joseph Ambohidratrimo;30/10/2017 11:05
803;LIME Madagascar;30/10/2017 13:23
804;Institut National de Promotion, Formation Ivato Aéroport;30/10/2017 16:39
805;UNIVERSITE PRIVEE SAMIS-ESIC (SAINT MICHEL);31/10/2017 07:09
806;Institut Supérieur de Technologie d'Antananarivo (IST-T);31/10/2017 08:57
807;IMGAM IVANDRY- ;31/10/2017 10:30
808;complexe scolaire safi;31/10/2017 11:05
809;centre des formations professionnel;31/10/2017 11:05
810;LDS( later-days saints);31/10/2017 11:05
811;MTC ghana;31/10/2017 11:05
812;eglise de jesus christ des saints des derniers jours;31/10/2017 11:05
813;YALI;31/10/2017 11:05
814;FACULTE DES SCIENCES ET ISPM;31/10/2017 11:46
815;UNIVERSITE D'ANTSIRANANA /ESPA;31/10/2017 14:33
816;lpa;01/11/2017 11:46
817;CFAMA;01/11/2017 17:37
818;Faculté des Sciences de l'Univesrité d'Antananarivo;02/11/2017 06:52
819;DEGS Antananarivo;02/11/2017 10:06
820;Faculté FLSH Centre universitaire régionale Antananarivo - Ankatso ;02/11/2017 10:06
821;Ecole Supérieure Spécalisée du Vakinakaratra (ESSVA);02/11/2017 12:24
822;La Grace Antaninadro;03/11/2017 10:30
823;Microcred Antananarivo;03/11/2017 16:29
824;Lycée Port Bergé;06/11/2017 16:33
825;CF-PRO;07/11/2017 09:20
826;LTI Alarobia;07/11/2017 16:23
827;Centre Antananarivo;08/11/2017 09:21
828;ISSIG Soavimbahoakas;08/11/2017 15:02
829;LMA AMPEFILOHA;08/11/2017 15:22
830;Formation Professionnelle en Travail Social et Développement à l'Université d'Antananarivo;09/11/2017 07:50
831;CRA;09/11/2017 11:53
832;Centre de télé-enseignement de Madagascar (CNTEMAD);09/11/2017 14:50
833;St laurent Ambohimanoro;10/11/2017 10:34
834;ACEEM Ankadivato;10/11/2017 16:28
835;INPF Ivato;14/11/2017 10:15
836;Sainte famille Mahamasina;14/11/2017 10:15
837;Formatiopn au sein de la Banque BOA MADAGASCAR;14/11/2017 10:49
838;BIT SOLUTION;14/11/2017 10:49
839;Institut de formation des paramédicaux Les Rossignols;14/11/2017 12:37
840;Saint Joseph;14/11/2017 15:54
841;LTI Ampasampito;15/11/2017 10:26
842;Institut Supérieur de Technologie Regionale Alaotra Mangoro;15/11/2017 12:18
843;lycée Pole Morondava;16/11/2017 15:24
844;Réseu plus de Madagascar;16/11/2017 15:24
845;Collège Saint Michel Ampahibe;17/11/2017 11:58
846;Antananarivo, candidat libre;17/11/2017 12:08
847;Lycée privé ACCEM;17/11/2017 12:25
848;lycée Sileny Paul  ;20/11/2017 09:08
849;lycée privée fitsimbinana ;20/11/2017 09:08
850;ISSSG EMIR CONSULTING;20/11/2017 10:22
851;saint Joseph IVATO;20/11/2017 12:23
852;ESCAME Ambaranjana;20/11/2017 16:40
853;ANTANANARIVO ANKATSO;21/11/2017 09:18
854;Institiut Universitaire de Madagascar ;21/11/2017 12:32
855;FTTPI Ampasampito;22/11/2017 16:12
856;Lycée ANDRIANARISOA;24/11/2017 08:30
857;Lycée téchnique Antsiranana;24/11/2017 10:17
858;INATE Antsirabe;24/11/2017 10:49
859;CONTTOLINE SA;24/11/2017 10:49
860;CREATIK;24/11/2017 10:49
861;Réseau plus de Madagascar;24/11/2017 11:13
862;Lycée HR Daniel Ankadikely Ilafy;24/11/2017 13:11
863;Ecole Vinet Ambohimalaza;24/11/2017 14:08
864;GSM;24/11/2017 15:37
865;Université antananarivo , Departement Physiques;24/11/2017 15:53
866;Ins.P.N.Mad;25/11/2017 10:09
867;Université de Pau et des Pays de l'Adour;27/11/2017 11:33
868;Lyceee privee la caravelle ;27/11/2017 13:12
869;UPRIME;27/11/2017 14:58
870;Cours CPE;27/11/2017 16:19
871;E.S.I.G.E;28/11/2017 09:12
872;ENA;28/11/2017 09:54
873;Faculté de Droit d'Antananarivo;28/11/2017 10:48
874;Soft Development information;28/11/2017 12:35
875;CSPI-M;28/11/2017 14:48
876;LTPGCM Mahamasina;29/11/2017 08:00
877;Uiversité de Fianarantsoa;29/11/2017 08:11
878;Beroute Afrique;29/11/2017 08:17
879;Institut of Management and Technology;29/11/2017 08:33
880;IED (Innovation Energie Développement);29/11/2017 10:04
881;par IED (Innovation Energie Développement);29/11/2017 10:04
882;Lycée prive fitarikandro;29/11/2017 12:07
883;Catolique MANJAKARAY;29/11/2017 12:07
884;Lycée Française Antananarivo;29/11/2017 16:02
885;LTP;30/11/2017 07:49
886;EDM;30/11/2017 08:08
887;I NSPMAD;30/11/2017 10:59
888;MRE Antaninandro;30/11/2017 14:08
889;Top flight Andravoangy Ambony ;30/11/2017 14:55
890;Le SENEVE Amboditsiry,;30/11/2017 14:55
891;EESS SCIENCES ANTANANARIVO;30/11/2017 17:01
892;Lycée privée speed;01/12/2017 09:50
893;Andrainjato fianarantsoa;02/12/2017 10:53
894;Lycée Faratsiho;04/12/2017 07:36
895;Université de Mahajanga;04/12/2017 11:18
896;ANKATSO - Université d’Antananarivo Madagascar;04/12/2017 15:18
897;Lycée Technique Ambatondrazaka;05/12/2017 07:39
898;Lycée privée CPE;05/12/2017 16:18
899;SFD Antaninandro;06/12/2017 08:16
900;FJKM Ambatolampy;06/12/2017 08:16
901;Lycée Diego;06/12/2017 14:42
902;Pepite d'or Isoraka;06/12/2017 15:15
903;cerf armi 67 ha;07/12/2017 15:53
904;University of Technology and Business;07/12/2017 16:06
905;IMGMA/FSSP;08/12/2017 09:09
906;Shelton College;08/12/2017 09:58
907;INSPN Mad;08/12/2017 12:42
908;Pré Uprim;08/12/2017 12:42
909;ITC;08/12/2017 12:42
910;UNIVERSITE D'ANTANANARIVO FACULTE DE MEDECINE;09/12/2017 19:15
911;Lycée Jean jacques RABEMANANJARA;11/12/2017 13:57
912;FPAEC Antanimena;11/12/2017 13:57
913;Lycée philbert Tsiranana;12/12/2017 07:46
914;RLG Ambatomainty;12/12/2017 08:00
915;ARCADE Ambohimanarina;12/12/2017 08:09
916;Lycée Talatamaty;12/12/2017 08:21
917;Lycée Mahanoro;12/12/2017 15:29
918; l’Ecole Supérieure Spécialisée du Vakinankaratra (ESSVA), ;13/12/2017 10:18
919;Lycée  Andohalo;13/12/2017 15:17
920;MEC INFO ;13/12/2017 15:37
921;Lyceé de Fianarantsoa;13/12/2017 15:44
922;ESCGM;14/12/2017 08:51
923;ISERP Ampefiloha ;14/12/2017 08:59
924;IEP;14/12/2017 11:04
925;RASADE ( Réseau des Associations pour l’Appuis au Développement;14/12/2017 13:02
926;SOCIMEX;14/12/2017 13:02
927;OTIV ;14/12/2017 13:02
928;IEFPA ACCEM;14/12/2017 15:23
929;IMGAM/ FPAEC;15/12/2017 07:26
930;Cape May Technical;15/12/2017 08:03
931;Real Disign Vondron’Asa Malagasy;15/12/2017 13:08
932; Centre de Formation en Langue Chinoise;15/12/2017 13:08
933;Alliance Française d’Antananarivo;15/12/2017 13:08
934;FIAM;18/12/2017 08:40
935;ITAOSY;18/12/2017 14:26
936;IFELP Antananarivo;19/12/2017 12:42
937;IFELP ANOSY Antananarivo;19/12/2017 12:56
938;Ecole Supérieure Polytechnique d 'Antsiranana;19/12/2017 15:33
939;Lycéé Tsiroanomandidy;19/12/2017 15:54
940;UNIVERSITE D'ANTANANARIVO, Ankatso;20/12/2017 08:15
941;Ecole supérieure des Sciences Agronomies;20/12/2017 08:15
942;CNTEMAD Ankadifotsy  et ESDES Ambatomitsangana;20/12/2017 09:53
943;Lycée St Joseph Ivato;20/12/2017 10:51
944;CFPT Carole Behoririka;20/12/2017 10:51
945;Lycéé privée;21/12/2017 08:03
946;ACCEEM;21/12/2017 08:10
947;Collège Saint Michel Amparibe;21/12/2017 10:43
948;Academie de la réunion;22/12/2017 12:48
949;CPE (Cours des Professeur Experimenté);22/12/2017 13:25
950;Faculté de Medecine Ankatso;26/12/2017 13:31
951;Ecole Superieur de Developpement Economique et Sociale;27/12/2017 08:30
952;ankaran;27/12/2017 10:42
953;INTETLIAM;27/12/2017 11:24
954;pré-Uprim;27/12/2017 13:36
955;FORMATION INTERNE;27/12/2017 14:15
956;La Clairefontaine;28/12/2017 09:38
957;Alliance Française Antsohihy;31/12/2017 10:49
958;AMERICAN CLUB HOPE ;05/01/2018 09:04
959;cufp Fianarantsoa;12/01/2018 18:47
960;Ankatso et CNTMAD;14/01/2018 19:43
961;Lycée  St Vincent De Paul Ambatonilita;15/01/2018 16:22
962;Lycée Technique et professionnel d'Antsirabe;15/01/2018 16:58
963;SEVIRA ;16/01/2018 09:46
964;QEIM;16/01/2018 11:07
965;SGS Madagascar;16/01/2018 11:07
966;Via Conseil;16/01/2018 11:07
967;non;16/01/2018 11:27
968;LPM Ampitatafika;16/01/2018 16:46
969;NIRINFO;17/01/2018 07:53
970;lycée privée Iharisoa Tanjombato;17/01/2018 07:53
971;Lp Masca;18/01/2018 08:27
972;Alliance Française Majunga ;18/01/2018 10:32
973;Lycée Philibert Tsiranana Majunga;18/01/2018 10:32
974;Lycée Jacques RABENANJARA;18/01/2018 15:29
975;institut superieur iesi;19/01/2018 08:50
976;Alliance Française de Tananarive;22/01/2018 13:05
977;;22/01/2018 20:12
978;Lycée privée Ambohimalaza;23/01/2018 15:22
979;Ecole technique Ampasapito;23/01/2018 15:47
980;GSI Antaninareninan tana 101;24/01/2018 15:02
981;Lycée Technique Commerciale mahajanga;24/01/2018 15:57
982;ybet fomation;25/01/2018 07:54
983;STIC;25/01/2018 11:08
984;CFP RABEMANANJARA;25/01/2018 11:08
985;CECOR (Cabinet d’études de  conseil et de réalisation);25/01/2018 11:08
986;Auzoma;25/01/2018 21:28
987;ENI (Université de Fianarantsoa);29/01/2018 14:46
988;Association des Etudiants Chretiens Malagasy;06/02/2018 17:12
989;Lycée Andramasina;07/02/2018 11:18
990;UNIVERSITE CNTMAD ;07/02/2018 11:18
991;UNIVESITE CNTMAD;07/02/2018 11:18
992;Lycée mixte Antalaha;07/02/2018 11:53
993;GSI Antaninarenina Antananarivo;07/02/2018 14:17
994;Université de Lorraine;08/02/2018 08:53
995;Centre National de Tele-Enseignement de Madagascar (CNTEMAD);08/02/2018 10:07
996;CEG Soamalaza Antsirabe;08/02/2018 10:07
997;EPP Ambohimena ANTSIRABE;08/02/2018 10:07
998;EPCE Soa sy Kanto Antsirabe;08/02/2018 10:07
999;Groupe Telma;08/02/2018 19:17
1000;Imperial Tobacco Group;08/02/2018 19:17
1001;IPAM Isoraka Tananarive;08/02/2018 19:17
1002;ISCAM Ankadifotsy Tananarive;08/02/2018 19:17
1003;Saint Joseph Ambozontany Fianarantsoa.;08/02/2018 19:17
1004;Sainte jeanne d'arc;08/02/2018 19:46
1005;CEG Avaradoha;09/02/2018 14:00
1006;EPP Avaradoha;09/02/2018 14:00
1007;Association de Guide au Parc Tsimbazaza.;09/02/2018 15:39
1008;Universite ASJA antsirabe;11/02/2018 13:38
1009;;13/02/2018 09:58
1010;lycée LCMMR analavory;13/02/2018 15:00
1011;Ambassade Americaine;13/02/2018 16:31
1012;E-media Ampasanimalo;14/02/2018 09:47
1013;Ecole superieur en multimedia Ampandrana ;14/02/2018 09:47
1014;CEG Mandroseza;14/02/2018 13:33
1015;Jeanne d' Arc University ;14/02/2018 16:33
1016;Jeanne D'Arc University ;14/02/2018 16:33
1017;Institute of Management, Tourism and Technology;14/02/2018 21:37
1018;Institutions Sainte Famille Mahamasina;19/02/2018 15:03
1019; CGM (Institut International de formation en Allemand Analakely) ;19/02/2018 15:03
1020;Association Soanotohizana Madagascar;19/02/2018 16:28
1021;ENS AMPEFILOHA;19/02/2018 17:27
1022;EPP Ambohidahy;20/02/2018 10:42
1023;Collège Madécasse, Itaosy;20/02/2018 10:42
1024;Candidat libre, Itaosy;20/02/2018 10:42
1025;F.A.A.L, Anosizato Est;20/02/2018 10:42
1026;CEG HA;20/02/2018 11:37
1027;Ecole privée CHRIST-ROI;20/02/2018 16:22
1028;;22/02/2018 16:35
1029;SOBATRA;23/02/2018 10:33
1030;Ecole Nationale d’Informatique (ENI) de l’Université ;23/02/2018 17:14
1031;Univesristé de Fianarantsoa ;24/02/2018 19:13
1032;Collège Saint Antoine ANKADIFOTSY;28/02/2018 16:48
1033;LEXMARK AFRICA;28/02/2018 16:48
1034;l'institut ISINFO;28/02/2018 17:20
1035;l'institut IESI;28/02/2018 17:20
1036;"Université d’Antananarivo auprês de la faculté de Droit, d’Économie, de Gestion, et de la Sociologie ; au département Gestion";01/03/2018 10:52
1037;Lovasoa;01/03/2018 17:26
1038;Rantosoa Ambatondrazaka;02/03/2018 16:35
1039;INFOPRO;03/03/2018 12:30
1040;CHRIST ROI MANJAKARAY;05/03/2018 14:59
1041;LYCEE MIXTE ANTSOHIHY;07/03/2018 22:19
1042;Ecole Normale Supérieure,Université d'Antananarivo;08/03/2018 15:58
1043;Institut Supérieur de l’Informatique et du Management;10/03/2018 16:26
1044;Programme Dinika Analamahitsy;11/03/2018 09:35
1045;Reseau OTIV TANA;11/03/2018 09:54
1046;RAMANANARIVO LOUIS GUILLAUME;12/03/2018 14:37
1047;Alliance française d'Antsirabe;12/03/2018 15:35
1048;Ambatovy;12/03/2018 16:27
1049;ONG MIDEM;13/03/2018 11:26
1050;Entreprendre Madagascar;13/03/2018 11:26
1051;STIG;14/03/2018 17:05
1052;ONG Zara Aina;15/03/2018 09:32
1053;EMB;15/03/2018 14:42
1054;Lycée Présentation de Maeir;16/03/2018 07:13
1055;Ecole National d'Informatique;16/03/2018 07:13
1056;Institut de Management de Arts et Metiers ou IMGAM;16/03/2018 15:35
1057;LYCEE TAMATAVE II;16/03/2018 18:59
1058;Lycée Mahitsy;18/03/2018 08:05
1059;université d’Ambatondrazaka (annexe Barikadimy);18/03/2018 08:05
1060;université privée TACTINFO 67 Ha;18/03/2018 08:05
1061;Éco-village Tsaratanàna;18/03/2018 08:05
1062;ISAE;19/03/2018 16:11
1063;BIG ;20/03/2018 10:33
1064;MCI (Madagascar Consulting International);20/03/2018 10:33
1065;SOCOTEC;20/03/2018 14:01
1066;EPIC Antsahalovana ;21/03/2018 11:37
1067;CEG Nanisana;21/03/2018 11:37
1068;Formation en Travail Social et Devéloppement Ankatso;27/03/2018 10:36
1069;Centre de Formation Professionnelle Laura Vicuna;27/03/2018 11:22
1070;Lycée Ambohimahasoa;27/03/2018 11:22
1071;Collège Hasina;27/03/2018 12:55
1072;Ecole de management et d’innovation technologique (EMIT), ;28/03/2018 16:09
1073;Centre Universitaire de Formation Professionnalisante (CUFP);28/03/2018 16:09
1074;Lycée Privé Saint Joseph Ambozontany;28/03/2018 16:09
1075;EMAP Madagascar;31/03/2018 17:14
1076;SFMJ Tsaramasay;31/03/2018 17:14
1077;IEP Madagascar;03/04/2018 15:51
1078;GSI 67Ha;04/04/2018 12:02
1079;Université d'Andrainjato Fianarantsoa;04/04/2018 12:02
1080;college saint jean Baptiste Imerinafovoany;05/04/2018 08:49
1081;Ex HORDEA Ambatolampy;05/04/2018 08:49
1082;SOFITRANS;05/04/2018 09:39
