id;universite;created
136;COLLEGE CHRIST ROI MANJAKARAY;28/02/2017 16:14
137;ESNIG;28/02/2017 17:01
138;Microsoft;28/02/2017 17:01
139;Oracle Afrique;28/02/2017 17:01
140;Oracle Suisse;28/02/2017 17:01
141;Wall Street Institute ;28/02/2017 17:01
142;EF International School of Languages;28/02/2017 17:01
143;FAC DEGS TOLIARA;01/03/2017 09:24
144;LYCEE ANTSOHIHY;01/03/2017 09:24
145;ISCaMen;01/03/2017 10:09
146;Centre Ecologique de Libanona Tolagnaro (CEL);01/03/2017 10:57
147;zo hasina anosizato;02/03/2017 07:25
148;inspnamad boeny;02/03/2017 07:50
149;ISETS;02/03/2017 10:04
150;BIT Formation;02/03/2017 16:08
151;InSM;03/03/2017 09:01
152;Lycée Technique RLG Manjakaray Antananarivo;03/03/2017 09:04
153;Lycee privé Lorrier ;03/03/2017 16:16
154;ICI;03/03/2017 16:16
155;Université Tananarive ;06/03/2017 11:01
156;IEF ACEEM;06/03/2017 15:08
157;Le Petit Nid;06/03/2017 15:08
158;ISSEG (Institut Supérieur en Science de l'Environnement et de Gestion;07/03/2017 13:03
159;LYCEE ANDRE RESAMPA ANTSIRABE;07/03/2017 13:12
160;Centre de formation et d'application du Machinisme Agricole;07/03/2017 13:29
161;LTP Alarobia;07/03/2017 14:09
162;ESPA Diego;07/03/2017 14:09
163;Université Privée ACEEM ANTANANARIVO;07/03/2017 15:05
164;universite privée E-tec;07/03/2017 15:36
165;Faculté DEGS Ankatso Antananarivo;08/03/2017 14:29
166;Arpège Beauty School / IPAC;08/03/2017 14:29
167;Université Adventiste Zurcher;08/03/2017 16:00
168;inspnmad;09/03/2017 10:11
169;Université ACEEM;09/03/2017 12:11
170;IST-D;10/03/2017 09:26
171;Collège Saint Michel ;10/03/2017 14:53
172;IMGAM/FSSP;10/03/2017 15:08
173;ISF;11/03/2017 09:05
174;IUM;11/03/2017 13:09
175;LTC;13/03/2017 10:59
176;Info Club Isoraka;13/03/2017 16:23
177;Collège privé Laurier Andoharanofotsy;13/03/2017 16:28
178;Collège privé La source Claire Andoharanofotsy;13/03/2017 16:29
179;Université Mirail;13/03/2017 16:37
180;Institut Supérieur Spécialiser en Informatique et en Gestion à Soavimbahoaka;14/03/2017 06:16
181;Université de sciences sociales;14/03/2017 07:28
182;ELI;14/03/2017 08:11
183;collège;14/03/2017 08:11
184;Institut Supérieur de Technologie d'Alaotra Mangoro;14/03/2017 08:18
185;SOFT FORMATION ET DEVELOPPMENT;14/03/2017 09:14
186;Lycée Razafindrabe Victorien ;14/03/2017 15:28
187;collège saint joseph de cluny;15/03/2017 15:25
188;collège saint françois xavier;15/03/2017 15:27
189;alliance française Andavamamba;15/03/2017 15:38
190;lycée le flambeau de madagascar ;15/03/2017 16:03
191;faculté DEGS de l'université d'Ankatso;15/03/2017 16:06
192;SEC;16/03/2017 11:08
193;saint joseph mahamasina;16/03/2017 14:12
194;ESCA;19/03/2017 18:00
195;collège MGR Ramarosandratana ;20/03/2017 07:20
196;ICAME(Insitut of car mecanic);20/03/2017 09:21
197;lycee privee ideal;20/03/2017 09:21
198;Lycée Arcade;20/03/2017 12:19
199;université d'Ankatso;20/03/2017 12:35
200;Centre Don Bosco ;20/03/2017 12:40
201;kentia;20/03/2017 13:22
202;Institut Supérieur Polytechnique de Madagascar (ISPM);21/03/2017 08:05
203;IMGAM IVANDRY, Universite d'Antanarivo Ankatso;21/03/2017 17:09
204;CEG Rue Radama;22/03/2017 08:52
205;LTP privé Poincaré;22/03/2017 09:01
206;Lycée privé ACEEM;22/03/2017 09:12
207;Alpha school ;22/03/2017 15:55
208;Agence Universitaire Francophone;22/03/2017 15:57
209;CNEAGR NANISANA;22/03/2017 18:24
210;LMA;22/03/2017 20:32
211;lycée privé saint joseph;23/03/2017 07:33
212;Colège FJKM Antanisoa Miarinarivo;24/03/2017 07:16
213;Lycée Andoharanofotsy;24/03/2017 07:19
214;universite Antananarivo- CNTEMAD- AS DES;24/03/2017 11:44
215;UNIVERSITE D'ANTANANARIVO, CNTEMAD, ESDES;24/03/2017 11:50
216;marovoay;25/03/2017 12:18
217;MDF Isoraka;27/03/2017 09:57
218;NILMARPROD;27/03/2017 13:49
219;GRENE;28/03/2017 07:20
220;Institut Universitaire de Madagascar;28/03/2017 09:58
221;HECMMA;28/03/2017 10:41
222;lycee privee RANAIVOSOA;28/03/2017 15:17
223;ESMIA;28/03/2017 23:44
224;CNAPS;30/03/2017 08:06
225;M E D;30/03/2017 08:06
226;UNIVERS INFO;30/03/2017 09:25
227; Universite d'Antanarivo Ankatso;30/03/2017 09:34
228;lycée Marovoay;30/03/2017 09:36
229;Centre de formation;30/03/2017 10:05
230;SINUS;30/03/2017 11:43
231;MRE;30/03/2017 11:43
232; CNTEMAD;30/03/2017 11:51
233;ONG ACDM;30/03/2017 11:55
234;Lycée privé moderne Ankaraobato;30/03/2017 11:58
235;Département de la formation des techniciens supérieurs Alarobia;30/03/2017 14:54
236;Lycée technique professionnel Alarobia;30/03/2017 14:56
237;Ma-Vita;30/03/2017 15:24
238;LABORO;31/03/2017 09:04
239;Lycée privé Ranaivosoa;31/03/2017 09:05
240;CPE;31/03/2017 09:21
241;EFARC;31/03/2017 09:35
242;GSI;31/03/2017 09:50
243;Collège St Etienne Ambanidia;31/03/2017 10:00
244;ESSVA Antsirabe;31/03/2017 13:10
245;Lycée J.J Rabearivelo;31/03/2017 13:52
246;KENTIA SARL;31/03/2017 14:26
247;Groupe PIGIER;03/04/2017 08:12
248;Lycée privé Stella Maris;03/04/2017 08:26
249;USA;03/04/2017 09:42
250;Lycée LRN;03/04/2017 10:03
251;I-TECH;03/04/2017 10:05
252;BMR Besarety;03/04/2017 10:06
253;IS-IESI;03/04/2017 11:16
254;CSPJ Tanjombato;03/04/2017 11:31
255;Institut supérieur de l'entrepreneuriat et du commerce;03/04/2017 11:51
256;Chambre de commerce de la France Ankorondrano;03/04/2017 11:52
257;Isoraka;03/04/2017 11:54
258;Collège St François Xavier;04/04/2017 06:18
259;Universite d Antananarivo;04/04/2017 08:20
260;Spoken English Course;05/04/2017 08:39
261;Collège protestante ;05/04/2017 08:56
262;ENI;05/04/2017 09:16
263;Parc des Princes;05/04/2017 09:17
264;English Language Institute;05/04/2017 09:27
265;Ecole Nationale d'Informatique (ENI);05/04/2017 12:59
266;E-TEC;05/04/2017 15:19
267;Centre de Formation en Electronique et Informatique;05/04/2017 15:21
268;Lycée Jean Laborde Mantasoa;05/04/2017 15:21
269;Saint Michel Itaosy;06/04/2017 07:37
270;Cours ACEEM;06/04/2017 15:16
271;Lycée St Antoine;06/04/2017 15:39
272;Institut de Formation Technique;06/04/2017 18:51
273;Cntemad / Uprim;09/04/2017 09:23
274;SFX;10/04/2017 09:39
275;Lycee Nanisana;11/04/2017 08:39
276;ITEM;11/04/2017 08:39
277;YOUTH FIRST;11/04/2017 08:39
278;ONG dinika Union Europeenne;11/04/2017 08:39
279;Conservatoire National des Arts et Métiers;12/04/2017 06:40
280;Lycée Maria Manjaka;12/04/2017 06:41
281;Lycée Raherivelo Ramamonjy;12/04/2017 06:52
282;CFP E-Media;13/04/2017 09:09
283;Saint Jean Bosco;14/04/2017 13:56
284;ERD BEHORIRIKA;15/04/2017 10:48
285;ISFC;15/04/2017 16:42
286;Université Ankatso Antananarivo;18/04/2017 13:54
287;ISSSG;19/04/2017 07:21
288;Université de Tananarive;19/04/2017 08:15
289;DIFP Université d’Antananarivo ;19/04/2017 16:25
290;barika V;20/04/2017 09:48
291;IS IESI Manjakaray;20/04/2017 13:08
292;LTP Antsirabe;20/04/2017 13:56
293;Lycée privé Antsiranana;20/04/2017 14:40
294;Openclassrooms.com;20/04/2017 18:04
295;lycee privee saint jean antsiranana;22/04/2017 14:30
296;ESSCA Antanimena;22/04/2017 16:38
297;Saint Louis Betafo;24/04/2017 09:23
298;IT UNIVERSITY - Université de Nice Sophia Antipolis;24/04/2017 09:41
299;EUROI;24/04/2017 11:39
300;Institut de Leadership Chrétien;24/04/2017 11:59
301;Lycée Sacré Coeur Anosia ;24/04/2017 12:01
302;ICAM;25/04/2017 09:32
303;Saint François Xavier;26/04/2017 06:56
304;Institution Sainte Famille Mahamasina;26/04/2017 08:04
305;ONG ACDM BEHORIRIKA;26/04/2017 08:24
306;ICI ISORAKA;26/04/2017 08:31
307;LYCEE PRIVE ANDRIANINA AMBOLOKANDRINA;26/04/2017 08:36
